#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67640.1           -            301 11117at5820          -            234    2e-112  372.6  49.8   1   2  6.7e-100   4.5e-97  322.4  40.0     1   180     8   197     8   208 0.93 inner membrane complex protein 1g, putative [Plasmodium vivax]
SCO67640.1           -            301 11117at5820          -            234    2e-112  372.6  49.8   2   2   3.8e-18   2.6e-15   54.8   3.1   163   230   205   289   196   301 0.77 inner membrane complex protein 1g, putative [Plasmodium vivax]
SCO67079.1           -            529 11117at5820          -            234   5.5e-27   93.0  47.8   1   3   8.1e-30   5.5e-27   93.0  47.8    23   170    88   236    84   244 0.94 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO67079.1           -            529 11117at5820          -            234   5.5e-27   93.0  47.8   2   3   4.8e-06    0.0033   15.2  25.1    31   153   192   316   192   322 0.80 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO67079.1           -            529 11117at5820          -            234   5.5e-27   93.0  47.8   3   3       0.2   1.4e+02    0.1   2.4    14    51   299   336   290   342 0.81 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO65836.1           -            628 11117at5820          -            234   1.9e-23   81.4  35.3   1   2   2.8e-26   1.9e-23   81.4  35.3    18   154    67   204    55   265 0.86 inner membrane complex protein 1i, putative [Plasmodium vivax]
SCO65836.1           -            628 11117at5820          -            234   1.9e-23   81.4  35.3   2   2       1.5     1e+03   -2.8   0.1   182   231   564   618   541   620 0.60 inner membrane complex protein 1i, putative [Plasmodium vivax]
SCO66750.1           -            286 11117at5820          -            234     4e-12   44.3  35.5   1   2    0.0025       1.7    6.3   0.9    44    59    42    57    36    60 0.66 inner membrane complex protein 1c, putative [Plasmodium vivax]
SCO66750.1           -            286 11117at5820          -            234     4e-12   44.3  35.5   2   2   2.6e-14   1.7e-11   42.3  28.5    27   109    59   143    57   160 0.86 inner membrane complex protein 1c, putative [Plasmodium vivax]
SCO69970.1           -            567 11117at5820          -            234   0.00018   19.3  35.6   1   2   0.00034      0.23    9.2  21.8    14   111   114   213   112   216 0.88 inner membrane complex protein 1h, putative [Plasmodium vivax]
SCO69970.1           -            567 11117at5820          -            234   0.00018   19.3  35.6   2   2   2.6e-07   0.00018   19.3  35.6    16   122   161   277   155   280 0.86 inner membrane complex protein 1h, putative [Plasmodium vivax]
SCO68104.1           -            772 11117at5820          -            234    0.0025   15.6   0.9   1   2   3.4e-05     0.023   12.4   1.5    59   132   146   217   115   237 0.39 phosphatidylcholine-sterol acyltransferase, putative [Plasmodium vivax]
SCO68104.1           -            772 11117at5820          -            234    0.0025   15.6   0.9   2   2      0.61   4.1e+02   -1.5   0.0   163   199   380   416   370   423 0.86 phosphatidylcholine-sterol acyltransferase, putative [Plasmodium vivax]
SCO65570.1           -            536 11117at5820          -            234     0.022   12.5   0.5   1   2       2.1   1.4e+03   -3.3   0.0     3    21     6    24     5    34 0.83 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO65570.1           -            536 11117at5820          -            234     0.022   12.5   0.5   2   2   0.00011     0.075   10.7   0.1   175   227   373   425   367   428 0.88 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO69419.1           -            390 11117at5820          -            234     0.033   11.9  17.1   1   1   7.7e-05     0.052   11.2  17.1    36   124    72   167    67   172 0.80 inner membrane complex protein 1l, putative [Plasmodium vivax]
SCO66227.1           -            371 11117at5820          -            234      0.68    7.6  20.6   1   1    0.0026       1.8    6.2  20.6    26   108    38   118    28   148 0.81 inner membrane complex protein 1m, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:53 2026
# [ok]
