#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66418.1           -           1042 4823at5820           -            557  1.5e-294  976.3  57.1   1   6     7e-71   1.4e-67  227.0  17.4     1   109     1   109     1   127 0.95 FHA domain protein, putative [Plasmodium vivax]
SCO66418.1           -           1042 4823at5820           -            557  1.5e-294  976.3  57.1   2   6   6.1e-44   1.2e-40  138.1   0.1   107   189   158   240   147   247 0.88 FHA domain protein, putative [Plasmodium vivax]
SCO66418.1           -           1042 4823at5820           -            557  1.5e-294  976.3  57.1   3   6   1.5e-06    0.0031   14.6   0.2   189   229   280   328   270   347 0.76 FHA domain protein, putative [Plasmodium vivax]
SCO66418.1           -           1042 4823at5820           -            557  1.5e-294  976.3  57.1   4   6    0.0011       2.2    5.2   0.0   219   246   372   399   352   415 0.79 FHA domain protein, putative [Plasmodium vivax]
SCO66418.1           -           1042 4823at5820           -            557  1.5e-294  976.3  57.1   5   6  4.2e-184  8.5e-181  600.8  13.5   248   519   656   927   631   952 0.93 FHA domain protein, putative [Plasmodium vivax]
SCO66418.1           -           1042 4823at5820           -            557  1.5e-294  976.3  57.1   6   6   0.00024      0.48    7.4   0.4   516   548   959   991   940  1000 0.73 FHA domain protein, putative [Plasmodium vivax]
SCO68490.1           -           1807 4823at5820           -            557   2.7e-64  216.2  11.9   1   6   1.5e-05     0.031   11.3   0.0    18    47     3    32     1    39 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68490.1           -           1807 4823at5820           -            557   2.7e-64  216.2  11.9   2   6     1e-12   2.1e-09   35.0   0.3   115   163    80   128    66   140 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68490.1           -           1807 4823at5820           -            557   2.7e-64  216.2  11.9   3   6   4.6e-60   9.4e-57  191.3   6.1   253   445   145   336   128   409 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68490.1           -           1807 4823at5820           -            557   2.7e-64  216.2  11.9   4   6         3   6.1e+03  -10.8   9.1   507   533   606   632   583   659 0.41 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68490.1           -           1807 4823at5820           -            557   2.7e-64  216.2  11.9   5   6         3   6.1e+03   -8.1   5.2   510   531   691   712   677   727 0.33 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68490.1           -           1807 4823at5820           -            557   2.7e-64  216.2  11.9   6   6       1.9   3.9e+03   -5.5   1.3   511   530  1633  1652  1616  1673 0.42 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69533.1           -            703 4823at5820           -            557     6e-05   20.3   4.6   1   1   6.6e-08   0.00013   19.1   4.6   224   301   609   689   545   696 0.81 RING zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4823at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:55 2026
# [ok]
