#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68792.1           -           1449 1473at5820           -           1133         0 2017.9 143.1   1   2         0         0 1453.8 105.1     1   826     1   944     1   963 0.93 potassium channel, putative [Plasmodium vivax]
SCO68792.1           -           1449 1473at5820           -           1133         0 2017.9 143.1   2   2  3.6e-173  7.3e-170  565.6  30.1   795  1133  1096  1449  1070  1449 0.86 potassium channel, putative [Plasmodium vivax]
SCO70028.1           -           1993 1473at5820           -           1133   2.5e-10   37.3  45.4   1   5   2.4e-12   4.8e-09   33.0  33.7   108   405   545   849   508   928 0.76 potassium channel, putative [Plasmodium vivax]
SCO70028.1           -           1993 1473at5820           -           1133   2.5e-10   37.3  45.4   2   5   0.00052         1    5.4   5.5   500   560  1027  1088   981  1111 0.78 potassium channel, putative [Plasmodium vivax]
SCO70028.1           -           1993 1473at5820           -           1133   2.5e-10   37.3  45.4   3   5     0.051     1e+02   -1.2   0.4   566   612  1234  1280  1209  1375 0.82 potassium channel, putative [Plasmodium vivax]
SCO70028.1           -           1993 1473at5820           -           1133   2.5e-10   37.3  45.4   4   5   1.8e-08   3.6e-05   20.2   3.7   892   979  1623  1715  1615  1760 0.79 potassium channel, putative [Plasmodium vivax]
SCO70028.1           -           1993 1473at5820           -           1133   2.5e-10   37.3  45.4   5   5     0.062   1.3e+02   -1.5   2.8   546   628  1831  1914  1802  1987 0.73 potassium channel, putative [Plasmodium vivax]
SCO69245.1           -           1734 1473at5820           -           1133   8.9e-06   22.2   4.1   1   4   5.1e-07     0.001   15.4  36.7   277   569   558   852   348   864 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69245.1           -           1734 1473at5820           -           1133   8.9e-06   22.2   4.1   2   4      0.49     1e+03   -4.4   4.1   561   663  1020  1125  1004  1147 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69245.1           -           1734 1473at5820           -           1133   8.9e-06   22.2   4.1   3   4   4.4e-09   8.9e-06   22.2   4.1   873   957  1240  1325  1236  1356 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69245.1           -           1734 1473at5820           -           1133   8.9e-06   22.2   4.1   4   4       0.3   6.1e+02   -3.7  14.3   997  1133  1585  1723  1552  1723 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1473at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:07 2026
# [ok]
