#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   1  26   1.8e-86   1.1e-82  276.3  30.5     1   195     1   224     1   231 0.88 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   2  26   5.1e-95   3.1e-91  304.7  37.1   204   438   306   576   293   579 0.86 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   3  26   2.3e-75   1.4e-71  239.4  29.2   437   591   603   781   601   794 0.90 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   4  26   3.7e-79   2.2e-75  252.0  11.0   587   740   917  1070   911  1077 0.97 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   5  26   2.2e-89   1.3e-85  286.0  21.4   742   936  1103  1336  1090  1342 0.80 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   6  26  9.2e-125  5.6e-121  403.4  35.5   919  1170  1383  1647  1375  1657 0.94 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   7  26   7.1e-38   4.3e-34  115.0   0.2  1180  1250  1701  1771  1685  1789 0.93 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   8  26   1.4e-49   8.8e-46  153.8  13.3  1244  1351  1813  1918  1805  1937 0.85 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8   9  26   5.9e-06     0.036    9.1   0.0  1349  1375  1944  1970  1941  1979 0.88 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8  10  26   1.2e-37   7.6e-34  114.2  12.2  1375  1474  2012  2116  2006  2123 0.93 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8  11  26   5.1e-45   3.1e-41  138.7   1.9  1474  1567  2144  2239  2139  2257 0.93 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8  12  26   8.5e-60   5.2e-56  187.8  10.1  1564  1695  2306  2438  2301  2445 0.94 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8  13  26  2.5e-115  1.5e-111  372.1  27.9  1693  1926  2484  2727  2476  2744 0.93 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8  14  26     3e-44   1.8e-40  136.2   1.2  1922  2017  2766  2862  2758  2873 0.93 peptidase family C50, putative [Plasmodium vivax]
SCO69881.1           -           5314 59at5820             -           3393         0 4924.4 538.8  15  26   1.5e-29   9.2e-26   87.4   7.5  2010  2083  2915  2988  2907  2990 0.95 peptidase family C50, putative [Plasmodium vivax]
