#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   1  10   7.7e-27   4.7e-23   79.5   0.1    12    72    99   159    93   167 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   2  10   2.6e-23   1.6e-19   67.8   0.0    85   158   264   352   255   358 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   3  10   7.2e-70   4.4e-66  222.0   5.6   158   277   418   537   415   541 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   4  10   2.4e-33   1.5e-29  101.0   0.3   271   351   580   663   574   665 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   5  10   1.3e-46   8.1e-43  145.0   0.9   347   452   682   793   680   804 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   6  10   6.8e-92   4.1e-88  295.0  15.4   449   632   837  1021   832  1026 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   7  10     5e-15   3.1e-11   40.4   0.1   629   680  1056  1112  1052  1119 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   8  10   8.4e-22   5.1e-18   62.8   0.7   681   732  1163  1214  1158  1221 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5   9  10    7e-138  4.3e-134  447.3  25.8   730   978  1274  1530  1267  1534 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68294.1           -           1849 1034at5820           -           1177         0 1777.0 118.5  10  10  2.1e-109  1.3e-105  352.9  16.9   971  1177  1624  1849  1613  1849 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1034at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:49 2026
# [ok]
