#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65092.1           -           1458 1563at5820           -            937   2.9e-68  229.2  20.9   1   3   1.5e-23   1.2e-20   71.7   2.5     9   114   761   874   753   899 0.86 kinesin-8, putative [Plasmodium vivax]
SCO65092.1           -           1458 1563at5820           -            937   2.9e-68  229.2  20.9   2   3   4.2e-54   3.2e-51  172.9  10.7   169   417   894  1140   878  1156 0.83 kinesin-8, putative [Plasmodium vivax]
SCO65092.1           -           1458 1563at5820           -            937   2.9e-68  229.2  20.9   3   3         8   6.1e+03  -13.6  19.5   625   775  1247  1403  1165  1454 0.42 kinesin-8, putative [Plasmodium vivax]
SCO66927.1           -           1285 1563at5820           -            937   1.4e-45  154.2  16.8   1   2     1e-13   7.8e-11   39.2   1.2    14   110   507   605   501   619 0.82 kinesin-8, putative [Plasmodium vivax]
SCO66927.1           -           1285 1563at5820           -            937   1.4e-45  154.2  16.8   2   2   4.7e-38   3.5e-35  119.7   8.7   167   388   627   845   606   874 0.88 kinesin-8, putative [Plasmodium vivax]
SCO69212.1           -           1678 1563at5820           -            937   1.3e-42  144.4  17.6   1   5   4.7e-08   3.5e-05   20.5   0.3    55   112    94   151    69   154 0.91 kinesin-7, putative [Plasmodium vivax]
SCO69212.1           -           1678 1563at5820           -            937   1.3e-42  144.4  17.6   2   5   2.4e-43   1.8e-40  137.3  11.8   165   461   188   506   181   515 0.87 kinesin-7, putative [Plasmodium vivax]
SCO69212.1           -           1678 1563at5820           -            937   1.3e-42  144.4  17.6   3   5     0.042        32    0.8   2.6   668   718   850   892   842   902 0.66 kinesin-7, putative [Plasmodium vivax]
SCO69212.1           -           1678 1563at5820           -            937   1.3e-42  144.4  17.6   4   5         8   6.1e+03  -12.8  34.6   613   875  1097  1357   988  1419 0.57 kinesin-7, putative [Plasmodium vivax]
SCO69212.1           -           1678 1563at5820           -            937   1.3e-42  144.4  17.6   5   5         8   6.1e+03   -9.5   8.4   384   459  1539  1620  1535  1662 0.66 kinesin-7, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   1   7   4.1e-35   3.1e-32  110.0  27.7    18   324   112   431    93   435 0.75 kinesin, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   2   7   1.6e-15   1.2e-12   45.1   0.5   330   399   516   587   513   618 0.81 kinesin, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   3   7      0.26     2e+02   -1.9   0.2   585   623   651   690   638   701 0.74 kinesin, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   4   7      0.46   3.5e+02   -2.7   0.6   546   593   791   840   779   850 0.42 kinesin, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   5   7       1.7   1.3e+03   -4.6   3.5   774   824   946   997   916  1038 0.45 kinesin, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   6   7      0.18   1.4e+02   -1.4   0.6   173   240  1199  1266  1187  1272 0.77 kinesin, putative [Plasmodium vivax]
SCO70203.1           -           1508 1563at5820           -            937   1.1e-41  141.3  34.3   7   7      0.97   7.4e+02   -3.8   5.2   756   828  1393  1465  1378  1494 0.71 kinesin, putative [Plasmodium vivax]
SCO70198.1           -           1103 1563at5820           -            937   9.9e-38  128.2  26.0   1   3   4.4e-14   3.4e-11   40.4   1.7     8   112    35   145    29   147 0.75 kinesin-13, putative [Plasmodium vivax]
SCO70198.1           -           1103 1563at5820           -            937   9.9e-38  128.2  26.0   2   3   1.6e-32   1.2e-29  101.4   3.6   175   384   179   375   149   383 0.89 kinesin-13, putative [Plasmodium vivax]
SCO70198.1           -           1103 1563at5820           -            937   9.9e-38  128.2  26.0   3   3       0.4   3.1e+02   -2.5   5.3   514   566   936   989   888  1080 0.53 kinesin-13, putative [Plasmodium vivax]
SCO65440.1           -           2294 1563at5820           -            937   8.4e-35  118.5  17.0   1   2   2.7e-09     2e-06   24.6   0.6    15   123   261   367   250   374 0.79 kinesin-19, putative [Plasmodium vivax]
SCO65440.1           -           2294 1563at5820           -            937   8.4e-35  118.5  17.0   2   2   1.8e-31   1.4e-28   97.9  10.0   166   382   633   845   626   866 0.92 kinesin-19, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   1   7   2.1e-10   1.6e-07   28.2   8.7     5   112   153   268   150   280 0.70 kinesin-4, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   2   7   6.4e-08   4.9e-05   20.0  14.7   166   266   293   411   270   421 0.68 kinesin-4, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   3   7   3.8e-27   2.9e-24   83.6   9.4   279   459   502   680   487   684 0.83 kinesin-4, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   4   7      0.38   2.9e+02   -2.4   4.0   509   577  1003  1073   991  1080 0.75 kinesin-4, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   5   7         8   6.1e+03  -13.1  34.9   774   936  1398  1560  1390  1572 0.60 kinesin-4, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   6   7       2.2   1.7e+03   -4.9   5.0   421   485  1694  1757  1689  1760 0.70 kinesin-4, putative [Plasmodium vivax]
SCO66815.1           -           3257 1563at5820           -            937   1.1e-28   98.3  48.7   7   7      0.21   1.6e+02   -1.6   4.0   656   746  1861  1952  1857  2073 0.70 kinesin-4, putative [Plasmodium vivax]
SCO67563.1           -            800 1563at5820           -            937   4.9e-16   56.4  52.7   1   5   5.3e-11     4e-08   30.2   3.4    16   113     5   108     2   126 0.84 kinesin-like protein, putative [Plasmodium vivax]
SCO67563.1           -            800 1563at5820           -            937   4.9e-16   56.4  52.7   2   5   7.1e-08   5.4e-05   19.9  11.3   174   325   138   293   129   306 0.78 kinesin-like protein, putative [Plasmodium vivax]
SCO67563.1           -            800 1563at5820           -            937   4.9e-16   56.4  52.7   3   5   2.8e-11   2.2e-08   31.1   0.3   329   388   321   380   314   390 0.91 kinesin-like protein, putative [Plasmodium vivax]
SCO67563.1           -            800 1563at5820           -            937   4.9e-16   56.4  52.7   4   5      0.55   4.2e+02   -3.0   7.2   778   831   463   521   411   536 0.54 kinesin-like protein, putative [Plasmodium vivax]
SCO67563.1           -            800 1563at5820           -            937   4.9e-16   56.4  52.7   5   5     0.071        54   -0.0   1.5   682   752   685   756   672   789 0.64 kinesin-like protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1563at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1563at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1563at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:34:40 2026
# [ok]
