#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69916.1           -             68 15483at5820          -             56   7.8e-34  113.7   6.1   1   1   6.6e-37     1e-33  113.4   6.1     1    56     7    67     7    67 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69817.1           -             98 15483at5820          -             56    0.0015   16.7   1.9   1   2     0.035        53    2.2   0.4    34    42    19    27     5    47 0.73 C-Myc-binding protein, putative [Plasmodium vivax]
SCO69817.1           -             98 15483at5820          -             56    0.0015   16.7   1.9   2   2     1e-05     0.016   13.5   0.0     8    38    58    89    53    94 0.87 C-Myc-binding protein, putative [Plasmodium vivax]
SCO69502.1           -            340 15483at5820          -             56      0.56    8.5   6.3   1   5       0.4   6.1e+02   -1.2   0.0    22    34   130   142   121   146 0.83 tRNA-dihydrouridine synthase, putative [Plasmodium vivax]
SCO69502.1           -            340 15483at5820          -             56      0.56    8.5   6.3   2   5       1.7   2.5e+03   -3.2   0.0    12    26   170   184   164   188 0.73 tRNA-dihydrouridine synthase, putative [Plasmodium vivax]
SCO69502.1           -            340 15483at5820          -             56      0.56    8.5   6.3   3   5      0.15   2.2e+02    0.2   0.1    35    55   249   269   245   270 0.84 tRNA-dihydrouridine synthase, putative [Plasmodium vivax]
SCO69502.1           -            340 15483at5820          -             56      0.56    8.5   6.3   4   5      0.83   1.3e+03   -2.2   0.0    17    25   273   281   272   283 0.85 tRNA-dihydrouridine synthase, putative [Plasmodium vivax]
SCO69502.1           -            340 15483at5820          -             56      0.56    8.5   6.3   5   5   0.00043      0.65    8.3   0.2    19    34   287   302   278   306 0.89 tRNA-dihydrouridine synthase, putative [Plasmodium vivax]
SCO67247.1           -            394 15483at5820          -             56       1.7    6.9   7.7   1   2   0.00028      0.42    8.9   2.8     2    23    81   102    80   105 0.90 glycerol-3-phosphate dehydrogenase, putative [Plasmodium vivax]
SCO67247.1           -            394 15483at5820          -             56       1.7    6.9   7.7   2   2       0.4   6.1e+02   -1.2   0.2    13    20   142   149   131   151 0.68 glycerol-3-phosphate dehydrogenase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15483at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15483at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15483at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:34:28 2026
# [ok]
