#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68200.1           -            822 2595at5820           -            752         0 1743.1   6.9   1   2         0         0 1638.7   2.5     1   697    21   718    21   725 1.00 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO68200.1           -            822 2595at5820           -            752         0 1743.1   6.9   2   2   9.2e-34   2.5e-31  106.8   0.1   691   752   743   808   736   808 0.94 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO64965.1           -           1089 2595at5820           -            752  2.4e-225  748.3   6.3   1   3     6e-18   1.7e-15   54.5   0.3    11   152   275   417   267   424 0.92 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO64965.1           -           1089 2595at5820           -            752  2.4e-225  748.3   6.3   2   3  1.2e-105  3.3e-103  344.4   0.4   156   418   444   707   435   717 0.97 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO64965.1           -           1089 2595at5820           -            752  2.4e-225  748.3   6.3   3   3  1.3e-107  3.5e-105  351.0   0.0   424   730   760  1082   754  1086 0.89 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO69463.1           -           1188 2595at5820           -            752   2.9e-94  314.9   2.6   1   4   1.8e-10   4.9e-08   29.8   0.0   460   518   367   425   357   458 0.84 AAA family ATPase, putative [Plasmodium vivax]
SCO69463.1           -           1188 2595at5820           -            752   2.9e-94  314.9   2.6   2   4   5.7e-21   1.6e-18   64.5   0.7   270   409   508   645   492   650 0.87 AAA family ATPase, putative [Plasmodium vivax]
SCO69463.1           -           1188 2595at5820           -            752   2.9e-94  314.9   2.6   3   4   4.1e-65   1.1e-62  210.4   0.0   434   651   755   969   749  1015 0.95 AAA family ATPase, putative [Plasmodium vivax]
SCO69463.1           -           1188 2595at5820           -            752   2.9e-94  314.9   2.6   4   4    0.0019      0.52    6.6   0.0   655   688  1103  1136  1093  1170 0.81 AAA family ATPase, putative [Plasmodium vivax]
SCO69835.1           -           1070 2595at5820           -            752   1.3e-77  259.8   0.4   1   3   1.1e-10     3e-08   30.5   0.0   224   410   245   421   210   428 0.83 AAA family ATPase, putative [Plasmodium vivax]
SCO69835.1           -           1070 2595at5820           -            752   1.3e-77  259.8   0.4   2   3   1.8e-69   4.9e-67  224.9   0.1   446   689   559   801   535   839 0.90 AAA family ATPase, putative [Plasmodium vivax]
SCO69835.1           -           1070 2595at5820           -            752   1.3e-77  259.8   0.4   3   3      0.15        42    0.3   0.2    25    58   982  1015   977  1061 0.71 AAA family ATPase, putative [Plasmodium vivax]
SCO66797.1           -            447 2595at5820           -            752   8.9e-68  227.3   0.1   1   1   4.4e-70   1.2e-67  226.8   0.1   178   412   183   421   164   436 0.90 26S protease regulatory subunit 4, putative [Plasmodium vivax]
SCO69702.1           -            420 2595at5820           -            752   5.5e-61  204.8   0.4   1   1   2.8e-63   7.6e-61  204.4   0.4   178   419   154   397   144   409 0.92 26S protease regulatory subunit 7, putative [Plasmodium vivax]
SCO67402.1           -            441 2595at5820           -            752   8.2e-61  204.3   0.1   1   1   4.6e-63   1.3e-60  203.6   0.1   151   419   146   423   129   440 0.89 26S protease regulatory subunit 6A, putative [Plasmodium vivax]
SCO69650.1           -            393 2595at5820           -            752   1.9e-58  196.4   0.8   1   1   8.8e-61   2.4e-58  196.1   0.8   173   417   124   370    78   380 0.90 26S protease regulatory subunit 10B, putative [Plasmodium vivax]
SCO70236.1           -            424 2595at5820           -            752   1.2e-56  190.6   0.6   1   1   5.7e-59   1.6e-56  190.1   0.6   178   417   159   400   142   414 0.92 26S protease regulatory subunit 8, putative [Plasmodium vivax]
SCO65930.1           -            392 2595at5820           -            752   4.8e-56  188.5   0.1   1   1   2.4e-58   6.8e-56  188.0   0.1   183   415   134   369   108   378 0.72 26S protease regulatory subunit 6B, putative [Plasmodium vivax]
SCO70154.1           -            896 2595at5820           -            752   1.2e-53  180.6   0.1   1   2   1.4e-55     4e-53  178.9   0.0   456   683   157   387   142   414 0.92 ATP-dependent zinc metalloprotease FTSH 1, putative [Plasmodium vivax]
SCO70154.1           -            896 2595at5820           -            752   1.2e-53  180.6   0.1   2   2      0.47   1.3e+02   -1.4   0.0   333   371   695   735   690   746 0.77 ATP-dependent zinc metalloprotease FTSH 1, putative [Plasmodium vivax]
SCO68799.1           -            702 2595at5820           -            752   1.7e-49  166.9   0.4   1   1   1.1e-51   3.1e-49  166.0   0.4   451   691   239   478   229   489 0.90 ATP-dependent zinc metalloprotease FTSH, putative [Plasmodium vivax]
SCO67295.1           -            950 2595at5820           -            752   7.3e-49  164.8   0.2   1   1   3.7e-51     1e-48  164.3   0.2   183   409   398   633   384   651 0.89 ATP-dependent zinc metalloprotease FTSH, putative [Plasmodium vivax]
SCO67090.1           -            785 2595at5820           -            752   4.3e-48  162.2   0.9   1   3       3.3   9.2e+02   -4.2   0.1    50   103    48   101    46   110 0.67 N-ethylmaleimide-sensitive fusion protein, putative [Plasmodium vivax]
SCO67090.1           -            785 2595at5820           -            752   4.3e-48  162.2   0.9   2   3     3e-45   8.3e-43  144.7   0.0   462   711   256   521   237   535 0.67 N-ethylmaleimide-sensitive fusion protein, putative [Plasmodium vivax]
