#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   1  15   3.9e-66   2.4e-62  209.3   0.1     3   126     9   146     7   151 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   2  15   3.7e-29   2.2e-25   86.7   0.0   127   185   188   246   185   251 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   3  15     0.083     5e+02   -3.9   0.0   185   203   306   324   305   326 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   4  15   1.1e-11   6.8e-08   28.8   1.3   200   236   412   448   405   453 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   5  15   5.5e-38   3.4e-34  116.0   0.0   232   307   525   602   515   622 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   6  15   1.8e-12   1.1e-08   31.4   0.0   319   354   697   732   682   752 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   7  15   3.1e-78   1.9e-74  249.4   1.6   360   546   924  1151   912  1155 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   8  15   6.3e-54   3.8e-50  168.8   6.6   546   647  1205  1306  1200  1311 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9   9  15    0.0017        10    1.7   0.0   648   671  1354  1380  1351  1389 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9  10  15   2.5e-48   1.5e-44  150.3   2.0   674   798  1440  1571  1427  1575 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9  11  15   4.6e-81   2.8e-77  258.8   0.1   805   982  1651  1847  1644  1852 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9  12  15   2.7e-23   1.6e-19   67.3   0.0   987  1042  1938  1993  1929  2000 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9  13  15   1.6e-91   9.6e-88  293.5   0.3  1048  1241  2064  2264  2046  2279 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9  14  15     3e-64   1.8e-60  203.1   0.3  1247  1373  2342  2470  2339  2475 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65390.1           -           2721 341at5820            -           1530         0 2081.3  70.9  15  15   2.3e-77   1.4e-73  246.5   4.6  1373  1530  2545  2721  2538  2721 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:49 2026
# [ok]
