#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69531.1           -           1030 8193at5820           -            626  3.3e-276  916.3 174.0   1   6   1.3e-63   1.6e-60  203.9  15.2     1   132     9   143     9   153 0.94 RNA-binding protein, putative [Plasmodium vivax]
SCO69531.1           -           1030 8193at5820           -            626  3.3e-276  916.3 174.0   2   6   6.1e-05     0.074   10.1   1.1   131   152   204   225   203   229 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO69531.1           -           1030 8193at5820           -            626  3.3e-276  916.3 174.0   3   6   3.6e-54   4.4e-51  172.7  19.4   129   272   237   394   226   398 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO69531.1           -           1030 8193at5820           -            626  3.3e-276  916.3 174.0   4   6  4.9e-111  5.9e-108  360.5  52.6   269   499   499   767   496   770 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO69531.1           -           1030 8193at5820           -            626  3.3e-276  916.3 174.0   5   6   3.6e-63   4.3e-60  202.4  36.3   484   623   777   924   768   927 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO69531.1           -           1030 8193at5820           -            626  3.3e-276  916.3 174.0   6   6         5   6.1e+03  -12.6  10.9   599   621   987  1012   947  1028 0.50 RNA-binding protein, putative [Plasmodium vivax]
SCO66530.1           -            470 8193at5820           -            626     5e-10   37.0   5.5   1   2      0.16   1.9e+02   -1.2   4.7     3   114    86   201    84   222 0.63 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO66530.1           -            470 8193at5820           -            626     5e-10   37.0   5.5   2   2   4.1e-13     5e-10   37.0   5.5   190   274   291   380   238   385 0.87 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO68331.1           -            632 8193at5820           -            626   2.1e-09   35.0   2.0   1   3   0.00018      0.22    8.5   0.3   198   260    10    72     4    85 0.91 RNA-binding protein, putative [Plasmodium vivax]
SCO68331.1           -            632 8193at5820           -            626   2.1e-09   35.0   2.0   2   3   1.7e-12   2.1e-09   35.0   2.0   196   269   165   238   131   265 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO68331.1           -            632 8193at5820           -            626   2.1e-09   35.0   2.0   3   3         5   6.1e+03   -9.5   5.8   583   598   512   527   505   547 0.51 RNA-binding protein, putative [Plasmodium vivax]
SCO66561.1           -            202 8193at5820           -            626   1.4e-06   25.7   0.1   1   1   1.4e-09   1.7e-06   25.4   0.1   186   272    60   148    38   151 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 8193at5820           -            626    0.0076   13.3   0.9   1   3   0.00039      0.48    7.4   0.1   281   339    90   149    87   158 0.89 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 8193at5820           -            626    0.0076   13.3   0.9   2   3    0.0073       8.8    3.2   0.0   275   332   184   241   167   277 0.78 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 8193at5820           -            626    0.0076   13.3   0.9   3   3      0.17   2.1e+02   -1.3   0.1   225   264   402   441   398   467 0.68 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8193at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:44 2026
# [ok]
