#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67863.1           -            328 13894at5820          -            261  4.8e-120  398.7  87.2   1   2  1.3e-104  3.3e-102  340.2  54.6     1   207     7   245     7   246 0.92 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO67863.1           -            328 13894at5820          -            261  4.8e-120  398.7  87.2   2   2   2.1e-20   5.2e-18   64.2  31.5   182   258   233   313   228   316 0.86 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO67368.1           -           1061 13894at5820          -            261   4.3e-29  100.6  32.6   1   1   1.7e-31   4.3e-29  100.6  32.6     6   219     6   221     2   233 0.67 RNA-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13894at5820          -            261   6.3e-16   57.4   3.8   1   4   2.9e-06   0.00074   17.9   0.0     7    76    17    86    13   100 0.92 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13894at5820          -            261   6.3e-16   57.4   3.8   2   4   0.00018     0.045   12.0   0.2    20    79   118   176    99   195 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13894at5820          -            261   6.3e-16   57.4   3.8   3   4     0.002      0.52    8.5   0.1    24    73   211   258   193   275 0.77 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13894at5820          -            261   6.3e-16   57.4   3.8   4   4   7.5e-06    0.0019   16.5   0.0     2    91   445   531   444   551 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69795.1           -            124 13894at5820          -            261   4.4e-12   44.8   0.8   1   1     2e-14   5.1e-12   44.6   0.8    24    84    26    86    18   118 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   1   4   0.00021     0.054   11.7   0.1    22    80    34    87    16   103 0.84 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   2   4   1.2e-06   0.00031   19.1   0.1    24    82   136   194   128   206 0.86 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   3   4   0.00035     0.088   11.0   0.1    22    79   225   281   206   303 0.75 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 13894at5820          -            261     1e-09   37.1   9.8   4   4         4     1e+03   -2.3   0.2   114   146   355   387   344   391 0.75 poly(A)-binding protein, putative [Plasmodium vivax]
SCO67727.1           -            314 13894at5820          -            261   1.2e-09   36.9  58.2   1   2   1.7e-10   4.3e-08   31.7   0.1    16   113    18   111     5   131 0.80 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO67727.1           -            314 13894at5820          -            261   1.2e-09   36.9  58.2   2   2      0.02         5    5.3  53.6    47   199   144   304   141   314 0.77 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO67176.1           -            753 13894at5820          -            261   3.6e-09   35.3   0.1   1   3       6.5   1.6e+03   -2.9   2.0   227   250   195   218   161   236 0.50 nucleic acid binding protein, putative [Plasmodium vivax]
SCO67176.1           -            753 13894at5820          -            261   3.6e-09   35.3   0.1   2   3   2.7e-05    0.0068   14.7   3.2    10    83   367   439   363   497 0.84 nucleic acid binding protein, putative [Plasmodium vivax]
SCO67176.1           -            753 13894at5820          -            261   3.6e-09   35.3   0.1   3   3   1.4e-11   3.6e-09   35.3   0.1     7    82   664   740   659   752 0.89 nucleic acid binding protein, putative [Plasmodium vivax]
SCO69529.1           -            119 13894at5820          -            261   1.4e-08   33.4   0.1   1   2       8.1   2.1e+03   -3.3   0.5   235   237     9    11     2    27 0.43 RNA-binding protein, putative [Plasmodium vivax]
SCO69529.1           -            119 13894at5820          -            261   1.4e-08   33.4   0.1   2   2   5.5e-11   1.4e-08   33.4   0.1    13    79    42   108    33   119 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 13894at5820          -            261   7.5e-07   27.7   0.5   1   2   2.8e-06   0.00072   17.9   0.0     2    78    16    92    15   105 0.89 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 13894at5820          -            261   7.5e-07   27.7   0.5   2   2    0.0029      0.73    8.0   0.2     8    87   109   187   101   199 0.86 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO66738.1           -            318 13894at5820          -            261   4.6e-06   25.1  50.8   1   1   1.8e-08   4.6e-06   25.1  50.8     2   235    82   304    81   317 0.57 RNA-binding protein, putative [Plasmodium vivax]
SCO66530.1           -            470 13894at5820          -            261   9.3e-06   24.1   0.3   1   2       6.9   1.8e+03   -3.0   0.1   216   231   126   141   105   168 0.60 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO66530.1           -            470 13894at5820          -            261   9.3e-06   24.1   0.3   2   2   7.6e-08   1.9e-05   23.1   0.0     6    87   298   383   280   431 0.87 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO67408.1           -            156 13894at5820          -            261     1e-05   24.0  12.3   1   1   7.3e-08   1.8e-05   23.1  12.3     8   139     6   151     3   156 0.66 RNA-binding protein s1, putative [Plasmodium vivax]
SCO66163.1           -            544 13894at5820          -            261   1.8e-05   23.1   4.3   1   2   7.1e-08   1.8e-05   23.1   4.3    22   106    29   112    17   137 0.88 serine/arginine-rich splicing factor 4, putative [Plasmodium vivax]
SCO66163.1           -            544 13894at5820          -            261   1.8e-05   23.1   4.3   2   2      0.56   1.4e+02    0.5  50.9    42   228   141   330   122   349 0.61 serine/arginine-rich splicing factor 4, putative [Plasmodium vivax]
SCO65839.1           -            292 13894at5820          -            261   2.5e-05   22.7   0.4   1   2     0.014       3.6    5.8   0.0    25    67    26    67     8    76 0.82 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 13894at5820          -            261   2.5e-05   22.7   0.4   2   2   2.1e-05    0.0053   15.1   0.1    25    81   174   229   167   238 0.83 RNA-binding protein, putative [Plasmodium vivax]
