#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   1   9   1.1e-06    0.0068   12.6   0.0     1    25     1    25     1    29 0.91 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   2   9   2.3e-26   1.4e-22   77.8   0.8    19   108    42   153    34   159 0.82 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   3   9   4.3e-80   2.6e-76  255.7  16.9   104   301   186   416   185   420 0.92 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   4   9   1.5e-81     9e-78  260.6  14.2   299   475   459   652   444   686 0.87 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   5   9   2.5e-64   1.5e-60  203.5   8.7   492   612   764   884   732   905 0.83 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   6   9   1.3e-23   7.8e-20   68.7   7.5   620   686   943  1028   940  1034 0.78 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   7   9   2.2e-29   1.3e-25   87.8   2.3   681   758  1051  1128  1042  1137 0.91 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   8   9   2.4e-69   1.5e-65  220.1  13.4   743   888  1158  1307  1135  1313 0.90 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO67443.1           -           1585 1728at5820           -           1097         0 1566.1 129.5   9   9  2.7e-129  1.6e-125  418.6  10.7   884  1097  1366  1585  1362  1585 0.96 alpha/beta hydrolase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1728at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1728at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1728at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:44 2026
# [ok]
