#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66680.1           -            192 12097at5820          -            172     1e-97  323.5   3.5   1   1  5.2e-100     2e-97  322.5   3.5     1   172     1   190     1   190 0.95 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO69655.1           -            505 12097at5820          -            172   9.3e-35  118.5   7.1   1   2   1.7e-25   6.3e-23   80.0   0.6     5   106   222   324   218   358 0.87 U1 small nuclear ribonucleoprotein A, putative [Plasmodium vivax]
SCO69655.1           -            505 12097at5820          -            172   9.3e-35  118.5   7.1   2   2   8.7e-14   3.3e-11   41.8   0.7   107   171   433   501   381   502 0.86 U1 small nuclear ribonucleoprotein A, putative [Plasmodium vivax]
SCO68028.1           -            513 12097at5820          -            172   1.3e-12   46.4   0.4   1   3     0.025       9.4    4.5   0.0    26   121   104   201    83   204 0.71 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 12097at5820          -            172   1.3e-12   46.4   0.4   2   3   2.4e-06    0.0009   17.6   0.0    31   105   204   285   200   319 0.79 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 12097at5820          -            172   1.3e-12   46.4   0.4   3   3   2.1e-07     8e-05   21.0   0.0    30    96   388   458   367   485 0.81 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO69492.1           -            503 12097at5820          -            172   2.9e-12   45.2  22.9   1   4   0.00088      0.33    9.3   0.9    59   142    32   117    16   121 0.80 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 12097at5820          -            172   2.9e-12   45.2  22.9   2   4   9.6e-10   3.7e-07   28.7   3.2    12   143    84   216    77   228 0.78 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 12097at5820          -            172   2.9e-12   45.2  22.9   3   4   3.1e-05     0.012   14.0   5.5    32    95   198   267   196   313 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 12097at5820          -            172   2.9e-12   45.2  22.9   4   4   1.2e-07   4.6e-05   21.8   0.3    29    96   409   480   396   497 0.82 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69394.1           -            475 12097at5820          -            172     1e-09   37.0   2.4   1   2    0.0067       2.5    6.4   0.1     9    51    19    57    12   104 0.68 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 12097at5820          -            172     1e-09   37.0   2.4   2   2   3.5e-10   1.3e-07   30.1   0.3    12    91   109   187    99   202 0.82 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO70005.1           -            110 12097at5820          -            172   7.9e-05   21.1   0.1   1   1   2.4e-07     9e-05   20.9   0.1    10    91    14    93     6   109 0.76 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO69795.1           -            124 12097at5820          -            172   8.8e-05   20.9   1.0   1   1   2.5e-07   9.5e-05   20.8   1.0     9    91     7    89     1   117 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 12097at5820          -            172   0.00021   19.7   0.0   1   2      0.05        19    3.5   0.0   106   142     6    42     2    74 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 12097at5820          -            172   0.00021   19.7   0.0   2   2     4e-05     0.015   13.6   0.0    29    93   170   237   158   247 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO68708.1           -           1033 12097at5820          -            172    0.0003   19.2   0.6   1   3     0.026       9.8    4.5   0.1    19    88   651   720   639   733 0.67 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 12097at5820          -            172    0.0003   19.2   0.6   2   3    0.0032       1.2    7.4   0.0    29    92   759   826   730   844 0.78 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 12097at5820          -            172    0.0003   19.2   0.6   3   3      0.04        15    3.8   0.0    33    79   970  1016   960  1026 0.86 splicing factor 1, putative [Plasmodium vivax]
SCO65939.1           -            361 12097at5820          -            172   0.00043   18.6   0.3   1   2     0.021       8.1    4.7   0.0    28    60   132   168   121   204 0.75 RNA-binding protein, putative [Plasmodium vivax]
SCO65939.1           -            361 12097at5820          -            172   0.00043   18.6   0.3   2   2   0.00011     0.043   12.2   0.0    27    89   215   279   186   298 0.77 RNA-binding protein, putative [Plasmodium vivax]
SCO70117.1           -            505 12097at5820          -            172   0.00051   18.4   1.0   1   4       1.9   7.3e+02   -1.6   0.1   108   129    17    38     9    70 0.69 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO70117.1           -            505 12097at5820          -            172   0.00051   18.4   1.0   2   4       7.7   2.9e+03   -3.6   0.2    63   105   177   220   166   230 0.61 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO70117.1           -            505 12097at5820          -            172   0.00051   18.4   1.0   3   4       6.3   2.4e+03   -3.3   0.0     8    19   381   392   378   398 0.80 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO70117.1           -            505 12097at5820          -            172   0.00051   18.4   1.0   4   4   1.3e-06   0.00051   18.4   1.0    30    87   438   498   397   503 0.88 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO65352.1           -           1047 12097at5820          -            172   0.00055   18.3   0.9   1   2       2.2   8.5e+02   -1.8   0.0    10    30   542   562   533   571 0.72 RNA-binding protein, putative [Plasmodium vivax]
SCO65352.1           -           1047 12097at5820          -            172   0.00055   18.3   0.9   2   2   1.5e-06   0.00055   18.3   0.9    51   114   969  1033   965  1037 0.91 RNA-binding protein, putative [Plasmodium vivax]
SCO67292.1           -            316 12097at5820          -            172    0.0015   16.9   0.0   1   1   5.5e-06    0.0021   16.4   0.0    29   137    85   200    69   206 0.86 splicing factor U2AF small subunit, putative [Plasmodium vivax]
SCO66530.1           -            470 12097at5820          -            172    0.0075   14.6   7.8   1   4   0.00032      0.12   10.7   0.0   107   149    90   137    84   163 0.80 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO66530.1           -            470 12097at5820          -            172    0.0075   14.6   7.8   2   4       2.8   1.1e+03   -2.1   0.0    22    49   178   205   160   210 0.68 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO66530.1           -            470 12097at5820          -            172    0.0075   14.6   7.8   3   4      0.18        67    1.7   1.6    78   131   267   322   258   338 0.77 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO66530.1           -            470 12097at5820          -            172    0.0075   14.6   7.8   4   4     0.015       5.9    5.2   1.7     9    67   297   358   291   373 0.68 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO69529.1           -            119 12097at5820          -            172    0.0096   14.3   0.0   1   1   3.4e-05     0.013   13.8   0.0    31    88    52   113    37   118 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO66926.1           -            299 12097at5820          -            172     0.024   13.0   0.0   1   1   0.00011     0.043   12.2   0.0    12    84    38   110    30   151 0.79 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12097at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12097at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:35 2026
# [ok]
