#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65132.1           -            194 11317at5820          -            146     1e-90  299.5   5.2   1   2     9e-82   3.4e-79  262.2   0.7     1   113    14   126    14   139 0.98 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO65132.1           -            194 11317at5820          -            146     1e-90  299.5   5.2   2   2   5.3e-13     2e-10   39.1   0.3   113   146   145   188   127   188 0.77 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO67546.1           -            207 11317at5820          -            146   6.9e-40  134.7   0.5   1   2     4e-36   1.5e-33  114.1   0.0     1   119    18   136    18   146 0.94 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO67546.1           -            207 11317at5820          -            146   6.9e-40  134.7   0.5   2   2     7e-07   0.00027   19.2   0.1   113   144   149   180   139   182 0.87 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO69693.1           -            205 11317at5820          -            146   6.5e-38  128.3   0.3   1   1   2.6e-38   9.9e-36  121.2   0.3     1   136    39   192    39   198 0.89 ras-related protein Rab-5B, putative [Plasmodium vivax]
SCO65643.1           -            245 11317at5820          -            146     1e-37  127.7   4.5   1   2   1.1e-09   4.2e-07   28.3   0.0     1    44    13    56    13    65 0.94 ras-related protein Rab-5A, putative [Plasmodium vivax]
SCO65643.1           -            245 11317at5820          -            146     1e-37  127.7   4.5   2   2   1.3e-29   5.1e-27   92.9   2.1    39   143    98   218    88   221 0.78 ras-related protein Rab-5A, putative [Plasmodium vivax]
SCO70067.1           -            213 11317at5820          -            146   1.5e-36  123.8   0.1   1   2   7.8e-35   2.9e-32  109.9   0.0     1   124    14   136    14   144 0.96 ras-related protein Rab-2, putative [Plasmodium vivax]
SCO70067.1           -            213 11317at5820          -            146   1.5e-36  123.8   0.1   2   2    0.0001     0.039   12.2   0.1   114   136   145   167   138   175 0.89 ras-related protein Rab-2, putative [Plasmodium vivax]
SCO67772.1           -            200 11317at5820          -            146     2e-36  123.4   5.1   1   2   4.6e-37   1.8e-34  117.1   1.6     1   126    15   140    15   145 0.97 ras-related protein Rab-1B, putative [Plasmodium vivax]
SCO67772.1           -            200 11317at5820          -            146     2e-36  123.4   5.1   2   2    0.0019      0.71    8.1   0.1   113   137   146   170   140   180 0.82 ras-related protein Rab-1B, putative [Plasmodium vivax]
SCO69792.1           -            216 11317at5820          -            146   3.6e-35  119.4   1.5   1   2   1.7e-36   6.4e-34  115.3   0.2     1   114    18   132    18   142 0.95 ras-related protein Rab-11A, putative [Plasmodium vivax]
SCO69792.1           -            216 11317at5820          -            146   3.6e-35  119.4   1.5   2   2     0.053        20    3.4   0.1   108   135   145   172   135   182 0.79 ras-related protein Rab-11A, putative [Plasmodium vivax]
SCO67760.1           -            207 11317at5820          -            146   5.7e-35  118.7   2.7   1   2   1.1e-35   4.1e-33  112.7   0.5     1   125    19   143    19   150 0.97 ras-related protein Rab-1A, putative [Plasmodium vivax]
SCO67760.1           -            207 11317at5820          -            146   5.7e-35  118.7   2.7   2   2    0.0044       1.7    6.9   0.1   113   136   150   173   143   181 0.83 ras-related protein Rab-1A, putative [Plasmodium vivax]
SCO64983.1           -            201 11317at5820          -            146     5e-31  106.0   2.5   1   1   2.8e-33   1.1e-30  104.9   2.5     1   124    17   140    17   174 0.87 ras-related protein Rab-18, putative [Plasmodium vivax]
SCO68523.1           -            229 11317at5820          -            146   9.1e-29   98.6   0.2   1   1   4.1e-31   1.6e-28   97.8   0.2     1   123    16   139    16   169 0.89 ras-related protein Rab-11B, putative [Plasmodium vivax]
SCO66352.1           -            206 11317at5820          -            146   1.2e-23   82.0   0.8   1   1   9.1e-24   3.5e-21   74.0   0.8     1    95    15   109    15   182 0.82 ras-related protein RAB7, putative [Plasmodium vivax]
SCO67276.1           -            214 11317at5820          -            146   4.2e-13   47.8   0.0   1   2   2.8e-15   1.1e-12   46.5   0.0     1   113    16   127    16   138 0.94 GTP-binding nuclear protein RAN/TC4, putative [Plasmodium vivax]
SCO67276.1           -            214 11317at5820          -            146   4.2e-13   47.8   0.0   2   2       2.1   8.1e+02   -1.8   0.0   113   136   144   167   128   171 0.80 GTP-binding nuclear protein RAN/TC4, putative [Plasmodium vivax]
SCO66148.1           -            181 11317at5820          -            146   5.3e-07   28.0   0.0   1   1   1.8e-09   6.8e-07   27.7   0.0    41   119    59   138    27   152 0.86 ADP-ribosylation factor, putative [Plasmodium vivax]
SCO66285.1           -            178 11317at5820          -            146   0.00029   19.1   0.0   1   1     1e-06   0.00038   18.7   0.0    41   116    59   135    27   150 0.87 ADP-ribosylation factor, putative [Plasmodium vivax]
SCO65989.1           -            191 11317at5820          -            146     0.003   15.9   0.0   1   1   1.1e-05    0.0043   15.3   0.0    42   110    63   132    57   149 0.84 small GTP-binding protein sar1, putative [Plasmodium vivax]
SCO68225.1           -            452 11317at5820          -            146     0.024   12.9   0.1   1   1   0.00017     0.063   11.6   0.0    38    93   151   206   121   237 0.85 ras GTPAse, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm
