#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69900.1           -           1016 3950at5820           -            631         0 1119.1 104.4   1   5  5.4e-125  8.2e-122  406.1  19.0     1   207     1   213     1   221 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69900.1           -           1016 3950at5820           -            631         0 1119.1 104.4   2   5  5.5e-128  8.3e-125  416.0  20.2   206   471   252   527   241   542 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69900.1           -           1016 3950at5820           -            631         0 1119.1 104.4   3   5         4   6.1e+03   -9.5   6.3   450   498   558   606   554   617 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69900.1           -           1016 3950at5820           -            631         0 1119.1 104.4   4   5   8.7e-07    0.0013   15.6   7.9   426   469   755   819   749   827 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69900.1           -           1016 3950at5820           -            631         0 1119.1 104.4   5   5   1.5e-94   2.2e-91  305.6  20.1   461   631   841  1016   821  1016 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68659.1           -            479 3950at5820           -            631   6.1e-06   23.3  15.1   1   2       2.2   3.4e+03   -5.5  11.2   163   253   177   270    26   293 0.57 translation initiation factor eIF-2B subunit gamma, putative [Plasmodium vivax]
SCO68659.1           -            479 3950at5820           -            631   6.1e-06   23.3  15.1   2   2     4e-09   6.1e-06   23.3  15.1   336   410   387   460   375   471 0.79 translation initiation factor eIF-2B subunit gamma, putative [Plasmodium vivax]
SCO69385.1           -            452 3950at5820           -            631    0.0002   18.3  14.7   1   3     0.031        47    0.6   0.0    48   143    33   123    13   134 0.80 mannose-1-phosphate guanyltransferase, putative [Plasmodium vivax]
SCO69385.1           -            452 3950at5820           -            631    0.0002   18.3  14.7   2   3   7.6e-07    0.0012   15.8   6.3   323   413   327   423   307   431 0.59 mannose-1-phosphate guanyltransferase, putative [Plasmodium vivax]
SCO69385.1           -            452 3950at5820           -            631    0.0002   18.3  14.7   3   3     9e-07    0.0014   15.6   1.2   326   396   370   441   365   451 0.84 mannose-1-phosphate guanyltransferase, putative [Plasmodium vivax]
SCO65426.1           -            258 3950at5820           -            631   0.00037   17.5   1.6   1   1   2.9e-07   0.00043   17.2   1.6   344   396   165   219   158   255 0.72 dynactin subunit 5, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3950at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3950at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3950at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:41:17 2026
# [ok]
