#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   1  10    0.0035        21    1.0   0.8     9    40    43    75    37    86 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   2  10   2.6e-21   1.6e-17   61.1   8.5     5    88    69   155    64   191 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   3  10   2.1e-39   1.3e-35  120.9   3.9   111   195   286   373   263   396 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   4  10   1.5e-14   8.8e-11   38.7   4.6   194   297   404   508   396   518 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   5  10     0.097   5.9e+02   -3.8   0.1   256   275   547   565   545   570 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   6  10   1.8e-56   1.1e-52  177.4   3.2   302   412   645   755   641   765 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   7  10    0.0052        31    0.5   1.8   381   452   776   854   762   890 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   8  10   8.3e-07     0.005   13.0   0.4   438   489   935   986   916  1024 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2   9  10   3.1e-52   1.9e-48  163.4   1.8   505   646  1234  1391  1183  1408 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67324.1           -           1901 947at5820            -            969         0 1132.5  90.2  10  10    1e-184    6e-181  601.9   6.4   675   969  1594  1901  1553  1901 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/947at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:11:21 2026
# [ok]
