#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66628.1           -           1172 2346at5820           -            854         0 1356.0  28.9   1   3  2.1e-304  2.6e-301 1000.1  11.4     6   599    10   737     1   739 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66628.1           -           1172 2346at5820           -            854         0 1356.0  28.9   2   3   1.4e-26   1.7e-23   81.1   0.0   597   651   814   868   811   877 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66628.1           -           1172 2346at5820           -            854         0 1356.0  28.9   3   3   2.7e-87   3.3e-84  281.9   6.5   652   854   932  1172   916  1172 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 2346at5820           -            854   0.00025   17.7  15.0   1   2   3.9e-07   0.00048   16.7   7.9   435   558   194   324   183   331 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 2346at5820           -            854   0.00025   17.7  15.0   2   2    0.0014       1.7    5.0   0.6   370   411   480   523   463   557 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 2346at5820           -            854     0.037   10.5  14.3   1   3   2.1e-05     0.025   11.0   2.9   522   593    74   146    70   168 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 2346at5820           -            854     0.037   10.5  14.3   2   3      0.02        24    1.2   0.0   328   435   384   485   371   489 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 2346at5820           -            854     0.037   10.5  14.3   3   3    0.0029       3.5    3.9   1.6   342   404   538   599   523   614 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69548.1           -            132 2346at5820           -            854       4.7    3.5   9.9   1   1    0.0043       5.2    3.4   9.9   122   219     7   106     3   127 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67865.1           -            441 2346at5820           -            854       5.6    3.2   7.9   1   1    0.0067       8.2    2.7   7.9    96   205   277   399   272   422 0.52 hypothetical protein, conserved [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:33 2026
# [ok]
