#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   1  15   3.4e-29   2.1e-25   86.8   8.7     1    79     1   105     1   118 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   2  15     2e-07    0.0012   14.6   0.0    73   108   220   255   204   257 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   3  15     1e-21   6.2e-18   62.0   0.7    99   175   514   600   488   604 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   4  15  3.7e-109  2.3e-105  351.9  18.8   169   376   688   898   679   933 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   5  15   5.1e-76   3.1e-72  242.1  11.4   416   550  1125  1259  1078  1267 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   6  15   1.5e-08   8.9e-05   18.4   2.8   549   576  1320  1351  1317  1360 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   7  15   7.9e-51   4.8e-47  158.5   9.5   575   674  1426  1525  1418  1532 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   8  15   2.5e-69   1.5e-65  219.9  17.8   676   802  1590  1724  1585  1730 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6   9  15     2e-26   1.2e-22   77.6   1.4   803   851  1788  1836  1782  1841 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6  10  15   2.5e-24   1.5e-20   70.6   0.2   852   901  1869  1918  1865  1927 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6  11  15   8.7e-26   5.3e-22   75.5   1.4   899   962  1957  2021  1952  2026 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6  12  15  1.4e-166  8.6e-163  542.3  27.7   959  1255  2105  2419  2095  2424 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6  13  15   4.7e-96   2.9e-92  308.5  20.3  1250  1425  2511  2686  2505  2707 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6  14  15   1.2e-98   7.2e-95  317.1   1.5  1439  1631  2875  3086  2869  3123 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68449.1           -           3466 359at5820            -           1865         0 2787.5 250.6  15  15   7.6e-98   4.6e-94  314.4  27.8  1635  1865  3204  3464  3182  3464 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/359at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/359at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/359at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:39 2026
# [ok]
