#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66798.1           -            975 3405at5820           -            606         0 1056.5 153.7   1   6  8.5e-117  1.3e-113  379.2  42.4     1   214    29   254    29   264 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66798.1           -            975 3405at5820           -            606         0 1056.5 153.7   2   6   2.1e-57   3.2e-54  183.0  16.2   206   316   282   391   273   397 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66798.1           -            975 3405at5820           -            606         0 1056.5 153.7   3   6   7.6e-07    0.0011   16.0   0.8   309   338   451   480   437   489 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66798.1           -            975 3405at5820           -            606         0 1056.5 153.7   4   6   5.1e-16   7.8e-13   46.3   4.3   327   376   512   565   498   574 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66798.1           -            975 3405at5820           -            606         0 1056.5 153.7   5   6   0.00026      0.39    7.7   1.7   371   406   675   706   663   732 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66798.1           -            975 3405at5820           -            606         0 1056.5 153.7   6   6  2.2e-139  3.3e-136  453.8  50.2   383   606   751   975   726   975 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69389.1           -           1027 3405at5820           -            606   3.4e-09   34.3  97.0   1   2   8.5e-06     0.013   12.6  47.4    24   290    27   294     6   312 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69389.1           -           1027 3405at5820           -            606   3.4e-09   34.3  97.0   2   2     4e-07    0.0006   17.0  41.5   383   597   782  1013   761  1018 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69133.1           -            103 3405at5820           -            606      0.26    8.3   5.6   1   1   0.00017      0.26    8.2   5.6   302   382    11    94     1   102 0.71 signal recognition particle subunit SRP14, putative [Plasmodium vivax]
SCO67533.1           -            325 3405at5820           -            606      0.47    7.4   4.4   1   1   0.00043      0.65    6.9   4.4   329   381   234   288   205   299 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3405at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:45 2026
# [ok]
