#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   1  13  4.4e-119  1.3e-115  386.0   1.3     1   260     1   301     1   303 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   2  13   3.9e-26   1.2e-22   78.0   0.1   263   347   338   442   336   460 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   3  13     5e-21   1.5e-17   61.1   1.6   340   396   468   524   452   530 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   4  13   5.8e-17   1.8e-13   47.7   0.4   399   444   615   660   605   665 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   5  13   1.7e-69   5.2e-66  221.7   9.0   440   648   688   941   675   944 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   6  13   0.00029      0.87    5.6   0.0   640   682  1080  1124  1075  1137 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   7  13   1.2e-24   3.6e-21   73.1   3.8   706   759  1243  1296  1217  1309 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   8  13   1.8e-30   5.4e-27   92.4   0.0   761   833  1431  1503  1428  1527 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3   9  13   3.1e-15   9.3e-12   42.0   0.1   844   894  1602  1658  1589  1686 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3  10  13   1.8e-75   5.5e-72  241.5  26.3   909  1149  1734  2023  1717  2029 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3  11  13   2.4e-33   7.2e-30  102.0   0.7  1145  1216  2055  2126  2043  2130 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3  12  13   2.1e-26   6.3e-23   79.0   0.0  1210  1282  2142  2215  2134  2223 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68196.1           -           2335 842at5820            -           1358         0 1501.1  96.3  13  13   2.3e-32     7e-29   98.7   0.0  1290  1357  2258  2331  2249  2332 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66204.1           -            654 842at5820            -           1358     0.018   11.2   0.1   1   1   7.8e-06     0.024   10.8   0.1    49   120   280   350   275   383 0.76 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:43 2026
# [ok]
