#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   1  12   1.1e-29   6.5e-26   89.1   9.0     1    79    34   121    34   129 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   2  12   2.2e-46   1.3e-42  144.3   7.6    81   191   188   302   170   308 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   3  12   1.1e-30   6.4e-27   92.4   0.9   182   263   382   465   378   470 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   4  12   3.3e-13     2e-09   34.5   0.0   260   293   497   530   484   533 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   5  12       0.7   4.3e+03   -6.3   3.0   293   309   599   615   599   617 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   6  12   2.4e-23   1.5e-19   68.1   3.9   307   383   646   740   640   746 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   7  12   1.3e-78     8e-75  251.0   4.9   378   511   840   974   832   987 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   8  12     8e-43   4.9e-39  132.5   2.8   510   590  1002  1084   999  1088 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0   9  12   1.8e-65   1.1e-61  207.5  13.4   594   725  1119  1258  1111  1262 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0  10  12   1.5e-36   8.9e-33  111.8   1.7   724   792  1304  1372  1300  1391 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0  11  12   5.2e-19   3.2e-15   53.7   3.6   787   869  1639  1739  1632  1763 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67329.1           -           2153 1047at5820           -            938         0 1238.8 131.0  12  12     3e-38   1.8e-34  117.4   1.4   843   938  2056  2151  2047  2151 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1047at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1047at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1047at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:20 2026
# [ok]
