#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   1  12   5.4e-25   3.3e-21   73.6   0.0     4    65    11    72     8    79 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   2  12   2.1e-07    0.0013   15.4   0.1    64    87   107   130   101   136 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   3  12   2.9e-34   1.8e-30  104.3   0.0    88   193   171   289   153   294 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   4  12     9e-11   5.5e-07   26.6   0.0   193   234   356   398   352   413 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   5  12   1.2e-05     0.072    9.6   0.1   234   254   430   450   415   453 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   6  12   1.4e-41   8.2e-38  128.5   0.5   256   363   480   593   477   596 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   7  12   1.2e-34   7.2e-31  105.6   0.0   361   454   614   711   607   717 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   8  12   1.9e-52   1.2e-48  164.4   0.0   451   572   741   880   739   887 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3   9  12   1.3e-15   8.1e-12   42.5   0.0   570   618   918   966   908   977 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3  10  12     0.047   2.8e+02   -2.3   0.0   616   636  1001  1021   994  1024 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3  11  12   1.4e-23   8.3e-20   69.0   0.0   638   697  1098  1157  1095  1161 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65385.1           -           1306 3245at5820           -            805  8.4e-270  895.8  13.3  12  12   3.1e-48   1.9e-44  150.5   0.3   693   805  1184  1304  1180  1304 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3245at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3245at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3245at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:03 2026
# [ok]
