#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69971.1           -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   1   4  4.2e-271  1.5e-268  891.0  42.7     1   464    31   522    31   533 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   2   4   3.4e-05     0.012   12.8   0.1   461   486   543   568   535   571 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   3   4   0.00073      0.26    8.4   0.4   484   501   597   614   588   620 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   4   4   4.6e-29   1.6e-26   91.6  11.3   499   604   673   830   658   830 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3491at5820           -            604   8.4e-23   79.3  20.7   1   3   1.8e-19   6.4e-17   59.9   5.6    53   251   160   363   145   371 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3491at5820           -            604   8.4e-23   79.3  20.7   2   3   2.8e-11     1e-08   32.8   1.6    89   214   352   477   346   483 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3491at5820           -            604   8.4e-23   79.3  20.7   3   3      0.27        97   -0.1   1.1   391   437   483   529   477   551 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70021.1           -           1239 3491at5820           -            604   7.1e-17   59.8  35.1   1   3       3.8   1.4e+03   -3.9   0.5   457   508    87   142    79   156 0.72 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 3491at5820           -            604   7.1e-17   59.8  35.1   2   3   6.4e-05     0.023   11.9   0.2   110   183   248   321   224   333 0.82 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 3491at5820           -            604   7.1e-17   59.8  35.1   3   3   5.2e-18   1.9e-15   55.1  23.2    89   452   410   797   406   892 0.77 RAP protein, putative [Plasmodium vivax]
SCO66475.1           -            719 3491at5820           -            604   6.5e-13   46.7  13.7   1   3   3.6e-08   1.3e-05   22.6   3.5    72   150    64   143    52   213 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 3491at5820           -            604   6.5e-13   46.7  13.7   2   3   9.5e-07   0.00034   17.9   0.0   117   215   390   489   374   499 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 3491at5820           -            604   6.5e-13   46.7  13.7   3   3   0.00064      0.23    8.6   3.1   333   425   541   640   524   649 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3491at5820           -            604   1.1e-09   36.0  24.2   1   6      0.11        38    1.2   0.0   114   153    93   132    80   138 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3491at5820           -            604   1.1e-09   36.0  24.2   2   6     0.014       4.8    4.2   0.3    87   120   194   227   185   240 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3491at5820           -            604   1.1e-09   36.0  24.2   3   6   4.2e-07   0.00015   19.1   2.8    81   154   346   423   334   431 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3491at5820           -            604   1.1e-09   36.0  24.2   4   6    0.0019      0.69    7.0   0.3   403   431   426   454   421   493 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3491at5820           -            604   1.1e-09   36.0  24.2   5   6   0.00023     0.083   10.0   0.1   195   251   549   610   545   634 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3491at5820           -            604   1.1e-09   36.0  24.2   6   6    0.0028         1    6.4   0.1    78   140   737   797   727   822 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 3491at5820           -            604   2.4e-09   34.9   5.9   1   3       0.3   1.1e+02   -0.3   0.0   230   265   143   181   113   183 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 3491at5820           -            604   2.4e-09   34.9   5.9   2   3   1.7e-06    0.0006   17.1   0.5   134   220   232   319   223   348 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 3491at5820           -            604   2.4e-09   34.9   5.9   3   3   4.9e-07   0.00017   18.9   0.3    84   212   437   571   427   589 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69018.1           -            596 3491at5820           -            604   7.7e-09   33.2  21.3   1   3     0.019       6.8    3.7   7.3    81   213    34   169    29   181 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69018.1           -            596 3491at5820           -            604   7.7e-09   33.2  21.3   2   3   2.1e-11   7.7e-09   33.2  21.3    81   253   216   388   199   406 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69018.1           -            596 3491at5820           -            604   7.7e-09   33.2  21.3   3   3       1.3   4.5e+02   -2.3   0.3   182   243   501   559   493   577 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69828.1           -            943 3491at5820           -            604   1.4e-08   32.4   7.2   1   1   3.3e-07   0.00012   19.4   2.1    66   181   293   408   271   414 0.74 RAP protein, putative [Plasmodium vivax]
SCO66942.1           -            634 3491at5820           -            604   1.4e-08   32.4   7.2   1   3   2.9e-08     1e-05   22.9   0.1   104   195   156   247   130   257 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66942.1           -            634 3491at5820           -            604   1.4e-08   32.4   7.2   2   3    0.0004      0.14    9.2   0.2   260   298   345   383   313   391 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66942.1           -            634 3491at5820           -            604   1.4e-08   32.4   7.2   3   3     0.036        13    2.8   0.3   126   198   476   552   448   574 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3491at5820           -            604   1.6e-07   28.9   7.1   1   3         1   3.6e+02   -2.0   0.3   531   583   261   316   241   331 0.59 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3491at5820           -            604   1.6e-07   28.9   7.1   2   3   4.5e-10   1.6e-07   28.9   7.1    56   184   492   620   482   656 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66564.1           -            963 3491at5820           -            604   1.6e-07   28.9   7.1   3   3      0.37   1.3e+02   -0.6   0.3   314   371   751   808   725   832 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66268.1           -            512 3491at5820           -            604   4.1e-07   27.5   9.4   1   1   1.4e-09   4.8e-07   27.3   7.8    50   219    59   228    50   273 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 3491at5820           -            604   1.1e-05   22.8   3.2   1   3    0.0023      0.81    6.7   0.1   142   216    91   167    78   175 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 3491at5820           -            604   1.1e-05   22.8   3.2   2   3     0.021       7.4    3.6   0.0   186   253   250   316   243   325 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 3491at5820           -            604   1.1e-05   22.8   3.2   3   3    0.0001     0.036   11.2   0.3   143   214   438   509   434   530 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66236.1           -            441 3491at5820           -            604   2.2e-05   21.8   2.6   1   1   8.6e-08   3.1e-05   21.3   2.6    67   226    76   236    60   276 0.92 RAP protein, putative [Plasmodium vivax]
SCO68206.1           -            986 3491at5820           -            604   4.1e-05   20.9   0.2   1   4       4.3   1.5e+03   -4.1   3.4   202   292    83   171    65   193 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 3491at5820           -            604   4.1e-05   20.9   0.2   2   4       8.4     3e+03   -5.0   2.1   369   407   236   274   228   292 0.58 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 3491at5820           -            604   4.1e-05   20.9   0.2   3   4     0.016       5.9    3.9   1.2   158   251   404   499   387   513 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 3491at5820           -            604   4.1e-05   20.9   0.2   4   4   1.1e-07   4.1e-05   20.9   0.2   139   227   500   586   484   609 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   1   4   4.8e-07   0.00017   18.9   0.9   142   216   198   273   188   279 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   2   4     0.015       5.4    4.0   1.0   354   394   275   316   271   330 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   3   4    0.0012      0.42    7.7   2.3    91   184   465   556   459   599 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   4   4       1.1   3.9e+02   -2.1   0.0   182   212   676   706   673   710 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66186.1           -            446 3491at5820           -            604   0.00041   17.6   4.4   1   2     0.012       4.4    4.3   1.1    47   110    52   115    46   129 0.64 RAP protein, putative [Plasmodium vivax]
SCO66186.1           -            446 3491at5820           -            604   0.00041   17.6   4.4   2   2   1.5e-05    0.0053   13.9   0.1   109   209   152   256   129   261 0.82 RAP protein, putative [Plasmodium vivax]
SCO67604.1           -            927 3491at5820           -            604   0.00049   17.4  33.8   1   4    0.0042       1.5    5.9   5.9   148   250   149   250    17   277 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67604.1           -            927 3491at5820           -            604   0.00049   17.4  33.8   2   4   6.5e-05     0.023   11.8   0.8   125   177   296   348   292   354 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67604.1           -            927 3491at5820           -            604   0.00049   17.4  33.8   3   4     6e-06    0.0022   15.2   6.2   353   461   356   464   349   516 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67604.1           -            927 3491at5820           -            604   0.00049   17.4  33.8   4   4      0.74   2.7e+02   -1.6   0.4   267   296   889   919   837   926 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3491at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:07 2026
# [ok]
