#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69845.1           -            315 12286at5820          -            258  3.1e-118  392.2 107.3   1   3   4.7e-81   8.1e-79  263.0  11.9     1   131     1   139     1   142 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69845.1           -            315 12286at5820          -            258  3.1e-118  392.2 107.3   2   3   5.9e-10     1e-07   30.0  61.2   122   186   143   207   141   207 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69845.1           -            315 12286at5820          -            258  3.1e-118  392.2 107.3   3   3   3.9e-37   6.8e-35  119.0  43.9   141   258   187   313   186   313 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65689.1           -            242 12286at5820          -            258   1.3e-05   23.1   8.0   1   1   9.5e-08   1.6e-05   22.7   8.0   134   226   120   211   111   240 0.62 merozoite surface protein 4, putative [Plasmodium vivax]
SCO66558.1           -            414 12286at5820          -            258   2.6e-05   22.1   9.8   1   1   2.2e-07   3.8e-05   21.5   9.8   138   195    75   131    53   163 0.46 lipoate-protein ligase 2, putative [Plasmodium vivax]
SCO68475.1           -           1080 12286at5820          -            258   0.00011   20.1   7.7   1   1   1.3e-06   0.00022   19.0   7.7   150   213   108   169    79   186 0.60 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66037.1           -           2679 12286at5820          -            258   0.00036   18.4  31.0   1   2   2.1e-06   0.00036   18.4  31.0   107   191   212   295   191   345 0.41 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO66037.1           -           2679 12286at5820          -            258   0.00036   18.4  31.0   2   2      0.81   1.4e+02    0.0  10.9   157   196   536   565   487   609 0.55 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO65019.1           -           1668 12286at5820          -            258    0.0007   17.4  14.6   1   1     4e-06    0.0007   17.4  14.6   140   210  1218  1287  1191  1295 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65956.1           -            428 12286at5820          -            258   0.00072   17.4  25.8   1   2   4.2e-06   0.00072   17.4  25.8   139   191   126   173    56   197 0.66 RAD protein (Pv-fam-e) [Plasmodium vivax]
SCO65956.1           -            428 12286at5820          -            258   0.00072   17.4  25.8   2   2      0.98   1.7e+02   -0.2   2.7   164   179   406   421   386   428 0.36 RAD protein (Pv-fam-e) [Plasmodium vivax]
SCO65295.1           -            841 12286at5820          -            258    0.0019   16.0  29.4   1   2       3.6   6.3e+02   -2.1   4.5   164   186    15    29     2    37 0.28 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65295.1           -            841 12286at5820          -            258    0.0019   16.0  29.4   2   2   1.1e-05    0.0019   16.0  29.4   128   178   352   402   338   415 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69675.1           -            467 12286at5820          -            258    0.0045   14.7   5.6   1   1   4.1e-05    0.0072   14.1   5.6   153   212    72   134    57   176 0.48 tyrosine recombinase, putative [Plasmodium vivax]
