#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67655.1           -            365 8151at5820           -            356  5.4e-244  807.1   8.5   1   1    9e-247  6.1e-244  806.9   8.5     1   356     1   365     1   365 0.99 ribosome-interacting GTPase 1, putative [Plasmodium vivax]
SCO68033.1           -            367 8151at5820           -            356  1.3e-130  434.0   6.8   1   1  2.2e-133  1.5e-130  433.9   6.8     1   355     1   365     1   366 0.96 GTP-binding protein, putative [Plasmodium vivax]
SCO69933.1           -            855 8151at5820           -            356     5e-08   30.8   0.1   1   2   2.3e-08   1.5e-05   22.7   0.0    64   151   277   367   259   380 0.85 GTP-binding protein, putative [Plasmodium vivax]
SCO69933.1           -            855 8151at5820           -            356     5e-08   30.8   0.1   2   2     0.003         2    5.8   0.0    63   124   552   616   534   674 0.84 GTP-binding protein, putative [Plasmodium vivax]
SCO65941.1           -            636 8151at5820           -            356   7.7e-07   26.9   0.7   1   2      0.53   3.6e+02   -1.6   0.2   180   212   292   324   282   356 0.80 GTP-binding protein, putative [Plasmodium vivax]
SCO65941.1           -            636 8151at5820           -            356   7.7e-07   26.9   0.7   2   2   3.2e-09   2.1e-06   25.5   0.0    64   128   454   522   445   559 0.77 GTP-binding protein, putative [Plasmodium vivax]
SCO69248.1           -            499 8151at5820           -            356   2.7e-06   25.1   0.1   1   2   4.9e-08   3.3e-05   21.6   0.0    64   153   106   199   102   211 0.81 GTPase Era, putative [Plasmodium vivax]
SCO69248.1           -            499 8151at5820           -            356   2.7e-06   25.1   0.1   2   2     0.094        63    0.9   0.0   234   254   326   346   318   397 0.88 GTPase Era, putative [Plasmodium vivax]
SCO69474.1           -            570 8151at5820           -            356   5.8e-06   24.0   0.1   1   2   2.7e-08   1.9e-05   22.4   0.0    64   105   224   265   208   273 0.90 GTP-binding protein, putative [Plasmodium vivax]
SCO69474.1           -            570 8151at5820           -            356   5.8e-06   24.0   0.1   2   2         1   6.7e+02   -2.5   0.0   107   148   336   378   324   392 0.66 GTP-binding protein, putative [Plasmodium vivax]
SCO65828.1           -            747 8151at5820           -            356   9.8e-05   20.0   0.0   1   1   2.6e-07   0.00017   19.2   0.0    65   150   408   494   404   507 0.93 GTP-binding protein, putative [Plasmodium vivax]
SCO69365.1           -            518 8151at5820           -            356    0.0011   16.6   0.6   1   2      0.35   2.4e+02   -1.0   0.0   167   233   239   307   217   315 0.68 nucleolar GTP-binding protein 2, putative [Plasmodium vivax]
SCO69365.1           -            518 8151at5820           -            356    0.0011   16.6   0.6   2   2   5.1e-06    0.0035   14.9   0.1    60   120   318   376   310   389 0.77 nucleolar GTP-binding protein 2, putative [Plasmodium vivax]
SCO67235.1           -            711 8151at5820           -            356       1.3    6.4  15.9   1   3         9   6.1e+03   -8.0   5.3    43    57    90   104    84   107 0.62 GTP-binding protein, putative [Plasmodium vivax]
SCO67235.1           -            711 8151at5820           -            356       1.3    6.4  15.9   2   3   0.00055      0.37    8.2   0.2    59   168   465   578   433   582 0.77 GTP-binding protein, putative [Plasmodium vivax]
SCO67235.1           -            711 8151at5820           -            356       1.3    6.4  15.9   3   3     8e-05     0.054   11.0   0.6   234   285   580   638   566   664 0.80 GTP-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:34 2026
# [ok]
