#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   1   8   3.1e-74   3.2e-71  237.7  14.0     6   162    13   175     1   181 0.92 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   2   8  2.2e-123  2.3e-120  400.8  28.0   152   353   221   422   218   431 0.97 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   3   8  7.8e-143  7.9e-140  465.4  35.2   348   599   570   821   555   847 0.94 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   4   8  1.7e-227  1.7e-224  746.5  50.8   591  1049   875  1474   873  1478 0.96 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   5   8         0         0 3213.7 114.9  1040  2497  1548  3084  1539  3093 0.98 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   6   8   7.8e-24   7.9e-21   70.4   0.3  2482  2553  3205  3285  3203  3289 0.91 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   7   8  1.3e-255  1.3e-252  839.7  19.4  2548  2928  3313  3694  3307  3700 0.98 dynein heavy chain, putative [Plasmodium vivax]
SCO66373.1           -           5856 27at5820             -           4874         0 10222.0 466.5   8   8         0         0 4283.1 150.1  2924  4874  3776  5856  3758  5856 0.97 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   1  12         6   6.1e+03  -42.9  53.5   594  1071    42   519    35   584 0.51 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   2  12         6   6.1e+03  -16.0  20.1  1112  1275   699   851   663  1110 0.61 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   3  12     1e-31     1e-28   96.6  39.1  1252  1719  1375  1857  1330  1862 0.80 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   4  12    1e-105  1.1e-102  342.2  16.8  1746  2203  1946  2399  1939  2410 0.89 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   5  12   5.3e-46   5.3e-43  144.0   6.4  2208  2467  2466  2722  2462  2730 0.91 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   6  12   5.8e-22   5.9e-19   64.2  14.7  2600  2893  2956  3247  2930  3260 0.86 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   7  12   7.1e-19   7.2e-16   53.9   2.6  2936  3097  3325  3484  3312  3495 0.88 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   8  12   1.8e-78   1.8e-75  251.8  45.7  3158  3797  3494  4102  3484  4110 0.90 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7   9  12   1.1e-30   1.1e-27   93.1   6.6  3800  3969  4251  4421  4248  4434 0.92 dynein heavy chain, putative [Plasmodium vivax]
SCO66170.1           -           5274 27at5820             -           4874         0 1134.1 306.7  10  12      0.24   2.4e+02   -4.3   0.2  3981  4031  4495  4549  4489  4569 0.73 dynein heavy chain, putative [Plasmodium vivax]
