#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65839.1           -            292 9510at5820           -            234    1e-139  462.2  23.2   1   1  2.2e-138  3.6e-136  450.6  23.2     1   224     1   263     1   292 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 9510at5820           -            234   2.3e-57  192.7   7.1   1   3   7.7e-11   1.2e-08   33.2   0.2   125   209    17    97     4   109 0.88 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 9510at5820           -            234   2.3e-57  192.7   7.1   2   3   1.4e-18   2.2e-16   58.5   0.1   115   204   107   197    98   203 0.89 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 9510at5820           -            234   2.3e-57  192.7   7.1   3   3     1e-32   1.7e-30  104.8   0.3   118   211   201   294   195   305 0.93 poly(A)-binding protein, putative [Plasmodium vivax]
SCO69492.1           -            503 9510at5820           -            234   2.2e-54  182.9  14.2   1   3   2.1e-09   3.3e-07   28.5   0.0     7    85    82   162    77   175 0.89 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 9510at5820           -            234   2.2e-54  182.9  14.2   2   3     3e-15   4.7e-13   47.7   0.1     4    89   177   263   172   276 0.91 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 9510at5820           -            234   2.2e-54  182.9  14.2   3   3     5e-34   7.9e-32  109.1   6.2    91   210   343   479   293   496 0.83 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO68028.1           -            513 9510at5820           -            234   6.2e-49  165.1   4.0   1   3   4.8e-06   0.00077   17.5   0.0     6    85    87   168    83   174 0.87 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 9510at5820           -            234   6.2e-49  165.1   4.0   2   3   7.9e-13   1.3e-10   39.7   0.0     4    89   184   271   181   281 0.88 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 9510at5820           -            234   6.2e-49  165.1   4.0   3   3   4.1e-31   6.6e-29   99.5   2.5    92   209   319   456   291   470 0.88 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO70117.1           -            505 9510at5820           -            234   1.3e-36  124.7  14.8   1   3    0.0069       1.1    7.2   0.0   121   180    11    70     5   116 0.82 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO70117.1           -            505 9510at5820           -            234   1.3e-36  124.7  14.8   2   3       5.9   9.5e+02   -2.4   0.7   165   188   309   332   304   338 0.85 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO70117.1           -            505 9510at5820           -            234   1.3e-36  124.7  14.8   3   3   3.6e-37   5.7e-35  119.4   5.1    92   205   372   501   356   504 0.88 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO69999.1           -            883 9510at5820           -            234   5.2e-31  106.4  10.3   1   5     3e-06   0.00048   18.2   0.0   125   188    15    79    10    96 0.84 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 9510at5820           -            234   5.2e-31  106.4  10.3   2   5   1.8e-11   2.8e-09   35.3   0.1   125   204   103   184    91   190 0.88 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 9510at5820           -            234   5.2e-31  106.4  10.3   3   5   1.1e-06   0.00018   19.6   0.0   120   191   187   256   178   263 0.86 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 9510at5820           -            234   5.2e-31  106.4  10.3   4   5   3.7e-12   5.9e-10   37.5   0.0   119   213   442   536   436   553 0.89 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 9510at5820           -            234   5.2e-31  106.4  10.3   5   5       9.7   1.5e+03   -3.1   0.5    90   126   635   672   631   690 0.81 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO66159.1           -           1579 9510at5820           -            234   1.3e-27   95.3   1.1   1   1   1.7e-28   2.6e-26   91.0   1.1     7   210   335   528   329   535 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 9510at5820           -            234   6.1e-14   50.6   0.5   1   2    0.0066       1.1    7.2   0.0   126   194    20    89     8   101 0.76 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 9510at5820           -            234   6.1e-14   50.6   0.5   2   2     2e-13   3.2e-11   41.7   0.1   123   200   104   181    94   205 0.87 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO66489.1           -            340 9510at5820           -            234   2.4e-13   48.6   2.4   1   2   5.3e-10   8.5e-08   30.5   0.0   122   200    83   159    73   170 0.87 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO66489.1           -            340 9510at5820           -            234   2.4e-13   48.6   2.4   2   2   1.1e-05    0.0018   16.3   1.9   128   219   172   270   165   287 0.68 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO68708.1           -           1033 9510at5820           -            234     3e-13   48.3   0.0   1   3   0.00043     0.069   11.1   0.0   127   210   643   727   629   745 0.77 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 9510at5820           -            234     3e-13   48.3   0.0   2   3   2.9e-10   4.6e-08   31.3   0.0   137   208   755   826   750   843 0.89 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 9510at5820           -            234     3e-13   48.3   0.0   3   3      0.33        53    1.7   0.0    16    66   961  1008   949  1014 0.74 splicing factor 1, putative [Plasmodium vivax]
SCO66781.1           -            250 9510at5820           -            234   3.6e-11   41.5   0.0   1   2   2.6e-08   4.2e-06   24.9   0.0   123   189    18    84     5   104 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO66781.1           -            250 9510at5820           -            234   3.6e-11   41.5   0.0   2   2   3.4e-05    0.0055   14.7   0.0   127   202   173   248   162   250 0.92 RNA-binding protein, putative [Plasmodium vivax]
SCO65939.1           -            361 9510at5820           -            234   2.1e-10   39.0   0.8   1   2   0.00025      0.04   11.9   0.1     7    56   118   169   110   184 0.61 RNA-binding protein, putative [Plasmodium vivax]
SCO65939.1           -            361 9510at5820           -            234   2.1e-10   39.0   0.8   2   2   1.8e-08   2.8e-06   25.5   0.1   126   185   202   261   170   285 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 9510at5820           -            234   4.1e-10   38.1   5.3   1   3       2.2   3.5e+02   -1.0   1.1    71   202   401   535   392   550 0.71 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 9510at5820           -            234   4.1e-10   38.1   5.3   2   3   0.00098      0.16   10.0   0.0   165   202   919   956   912   969 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 9510at5820           -            234   4.1e-10   38.1   5.3   3   3   3.5e-09   5.6e-07   27.8   0.1   128   199   983  1054   966  1061 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO66738.1           -            318 9510at5820           -            234   4.6e-09   34.6   0.0   1   1   6.1e-11   9.7e-09   33.5   0.0   124   230    84   192    74   195 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO66530.1           -            470 9510at5820           -            234   4.1e-07   28.2   0.1   1   2   2.7e-05    0.0043   15.1   0.1   127   185    91   149    60   177 0.79 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO66530.1           -            470 9510at5820           -            234   4.1e-07   28.2   0.1   2   2   0.00045     0.072   11.1   0.0   115   183   288   359   264   374 0.74 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO67488.1           -           1835 9510at5820           -            234   7.8e-07   27.3   0.5   1   2       1.8   2.9e+02   -0.7   0.4   138   195   478   533   453   538 0.75 RNA-binding protein, putative [Plasmodium vivax]
SCO67488.1           -           1835 9510at5820           -            234   7.8e-07   27.3   0.5   2   2     3e-08   4.9e-06   24.7   0.0     8    90  1006  1089   999  1098 0.70 RNA-binding protein, putative [Plasmodium vivax]
SCO66619.1           -            287 9510at5820           -            234   1.3e-06   26.6   1.4   1   2   0.00022     0.035   12.1   0.7   139   202    58   117    34   142 0.80 RNA-binding protein, putative [Plasmodium vivax]
SCO66619.1           -            287 9510at5820           -            234   1.3e-06   26.6   1.4   2   2   0.00011     0.018   13.0   0.0   126   200   210   284   174   286 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO68021.1           -            181 9510at5820           -            234   1.9e-06   26.0   0.0   1   1   1.8e-08   2.8e-06   25.5   0.0   136   211    60   136    39   159 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO65926.1           -            269 9510at5820           -            234   3.2e-06   25.3   0.0   1   1   3.5e-08   5.5e-06   24.5   0.0     9    68   190   251   183   258 0.83 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO67727.1           -            314 9510at5820           -            234   5.8e-06   24.4   0.0   1   2   4.1e-07   6.6e-05   21.0   0.0   127   200     9    80     4    91 0.91 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO67727.1           -            314 9510at5820           -            234   5.8e-06   24.4   0.0   2   2      0.54        86    1.0   0.0   165   190   143   168   124   193 0.78 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO70005.1           -            110 9510at5820           -            234   6.2e-06   24.4   0.0   1   1   4.5e-08   7.2e-06   24.2   0.0   128   198    16    84     9   103 0.87 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO67297.1           -            208 9510at5820           -            234   6.4e-06   24.3   0.3   1   2   8.9e-08   1.4e-05   23.2   0.1   120   200     2    82     1    94 0.90 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO67297.1           -            208 9510at5820           -            234   6.4e-06   24.3   0.3   2   2       4.8   7.6e+02   -2.1   0.0    51    82   159   188   147   192 0.75 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO68327.1           -            757 9510at5820           -            234   7.8e-06   24.0   0.2   1   3     0.077        12    3.8   0.0   167   199   452   486   397   507 0.66 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO68327.1           -            757 9510at5820           -            234   7.8e-06   24.0   0.2   2   3      0.13        22    3.0   0.0   128   162   562   597   552   621 0.73 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO68327.1           -            757 9510at5820           -            234   7.8e-06   24.0   0.2   3   3   0.00011     0.018   13.0   0.0   122   202   674   754   630   756 0.81 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO66658.1           -            725 9510at5820           -            234   8.3e-06   24.0   0.0   1   1   9.8e-08   1.6e-05   23.0   0.0   130   199    11    81     3    92 0.88 mRNA processing protein, putative [Plasmodium vivax]
SCO67952.1           -            453 9510at5820           -            234   3.8e-05   21.8   0.1   1   1     4e-07   6.4e-05   21.0   0.1     7    69    98   161    91   180 0.70 U1 small nuclear ribonucleoprotein, putative [Plasmodium vivax]
SCO69563.1           -            661 9510at5820           -            234   6.7e-05   21.0   0.0   1   1   9.8e-07   0.00016   19.8   0.0   125   203   165   247   156   261 0.82 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
