#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69292.1           -            944 7873at5820           -            702  2.6e-256  850.7   0.0   1   1  3.1e-257  1.4e-254  845.1   0.0     2   690    11   917    10   939 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70238.1           -            406 7873at5820           -            702   0.00012   18.9  31.4   1   2   3.4e-06    0.0015   15.3   1.6   167   301    74   211    58   215 0.44 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70238.1           -            406 7873at5820           -            702   0.00012   18.9  31.4   2   2   0.00025      0.11    9.1  22.3   137   223   239   322   218   365 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69757.1           -            688 7873at5820           -            702   0.00013   18.8  13.2   1   3       2.6   1.1e+03   -4.2   2.4   157   191    12    46     2    62 0.36 U4/U6.U5 tri-snRNP-associated protein 2, putative [Plasmodium vivax]
SCO69757.1           -            688 7873at5820           -            702   0.00013   18.8  13.2   2   3         4   1.7e+03   -4.8  11.3   463   542   330   406   311   420 0.25 U4/U6.U5 tri-snRNP-associated protein 2, putative [Plasmodium vivax]
SCO69757.1           -            688 7873at5820           -            702   0.00013   18.8  13.2   3   3     3e-07   0.00013   18.8  13.2   125   276   426   616   418   626 0.64 U4/U6.U5 tri-snRNP-associated protein 2, putative [Plasmodium vivax]
SCO67121.1           -            340 7873at5820           -            702    0.0014   15.4  11.0   1   2   3.3e-06    0.0014   15.4  11.0   163   238   121   196   112   229 0.33 hypothetical protein, conserved [Plasmodium vivax]
SCO67121.1           -            340 7873at5820           -            702    0.0014   15.4  11.0   2   2       4.5     2e+03   -5.0   1.2   540   545   309   314   302   329 0.33 hypothetical protein, conserved [Plasmodium vivax]
SCO68349.1           -            709 7873at5820           -            702    0.0058   13.3   0.6   1   1   2.3e-05    0.0098   12.6   0.6   157   217   291   349   282   415 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67152.1           -            630 7873at5820           -            702     0.006   13.3  49.8   1   2   4.1e-05     0.018   11.7  21.9   464   555   204   295   196   307 0.60 radial spoke head protein, putative [Plasmodium vivax]
SCO67152.1           -            630 7873at5820           -            702     0.006   13.3  49.8   2   2   0.00091      0.39    7.3  20.0   454   548   383   477   377   497 0.46 radial spoke head protein, putative [Plasmodium vivax]
SCO66558.1           -            414 7873at5820           -            702      0.35    7.4  13.7   1   1    0.0012      0.51    6.9  13.7   162   200    82   120    59   139 0.54 lipoate-protein ligase 2, putative [Plasmodium vivax]
SCO64920.1           -            162 7873at5820           -            702      0.46    7.0  11.9   1   1    0.0013      0.58    6.7  11.9   498   573     6    82     1    88 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66292.1           -            438 7873at5820           -            702       1.5    5.4  27.5   1   1    0.0059       2.6    4.6  27.5   433   549   247   367   233   412 0.40 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66583.1           -           3251 7873at5820           -            702       1.6    5.2  12.7   1   1    0.0072       3.1    4.3  12.7   144   220    33   108    18   145 0.54 protein kinase, putative [Plasmodium vivax]
SCO65613.1           -           1438 7873at5820           -            702       4.1    3.9  17.2   1   1     0.018       7.9    3.0  17.2   436   545   629   731   611   753 0.50 protein transport protein SEC31, putative [Plasmodium vivax]
SCO65295.1           -            841 7873at5820           -            702       8.1    2.9  30.9   1   2     0.065        28    1.1   0.4   504   558    14    70     3    90 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65295.1           -            841 7873at5820           -            702       8.1    2.9  30.9   2   2    0.0051       2.2    4.8  24.5   160   216   329   403   291   416 0.38 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65019.1           -           1668 7873at5820           -            702       8.4    2.9  27.9   1   2     0.021       9.3    2.7   9.0   106   203   962  1059   945  1120 0.45 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65019.1           -           1668 7873at5820           -            702       8.4    2.9  27.9   2   2    0.0033       1.4    5.4  10.9   174   213  1226  1260  1207  1306 0.42 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67292.1           -            316 7873at5820           -            702         9    2.8  25.8   1   1     0.032        14    2.2  25.8   455   555   188   289   180   309 0.58 splicing factor U2AF small subunit, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7873at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:14 2026
# [ok]
