#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   1  16   4.1e-21   2.5e-17   60.4   0.5     1    87   213   325   213   328 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   2  16   3.2e-11   1.9e-07   27.6   0.0    87   131   371   418   366   421 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   3  16   1.8e-65   1.1e-61  207.4   0.6   132   327   482   709   481   711 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   4  16   3.8e-38   2.3e-34  116.8   0.0   327   444   759   889   753   893 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   5  16   1.1e-43   6.9e-40  135.1   0.0   445   541   922  1018   918  1030 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   6  16   2.7e-53   1.7e-49  167.0   1.6   541   650  1132  1241  1126  1250 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   7  16   6.2e-80   3.8e-76  255.3  13.3   651   833  1311  1519  1305  1525 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   8  16     1e-54   6.3e-51  171.7  16.5   835   995  1565  1751  1562  1789 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6   9  16   9.9e-05       0.6    6.1   0.0   994  1032  1797  1847  1777  1850 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  10  16   2.8e-11   1.7e-07   27.8   0.0  1033  1067  1926  1960  1922  1964 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  11  16   2.6e-47   1.6e-43  147.2   0.0  1064  1176  2000  2116  1996  2123 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  12  16   5.1e-67   3.1e-63  212.5   3.2  1175  1336  2141  2313  2134  2316 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  13  16     0.037   2.3e+02   -2.5   0.0  1335  1363  2343  2374  2342  2375 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  14  16   3.1e-30   1.9e-26   90.6   0.1  1349  1424  2403  2482  2383  2483 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  15  16   1.2e-52   7.3e-49  164.9   0.0  1424  1530  2548  2654  2545  2666 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65401.1           -           2734 603at5820            -           1553         0 1811.9  76.6  16  16     3e-11   1.8e-07   27.7   0.9  1529  1553  2708  2732  2705  2732 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/603at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/603at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:58:48 2026
# [ok]
