#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69080.1           -            928 3557at5820           -            694         0 1100.1  77.8   1   3   3.2e-85   3.2e-82  275.6  11.0     1   247     1   259     1   269 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69080.1           -            928 3557at5820           -            694         0 1100.1  77.8   2   3     9e-05     0.091    9.7   1.1   180   226   320   372   299   376 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69080.1           -            928 3557at5820           -            694         0 1100.1  77.8   3   3  4.4e-250  4.4e-247  820.5  50.7   220   694   389   920   379   920 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67980.1           -           1127 3557at5820           -            694     7e-49  165.4  22.9   1   5       5.3   5.3e+03   -6.1   2.9   193   246   163   221   143   254 0.47 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO67980.1           -           1127 3557at5820           -            694     7e-49  165.4  22.9   2   5       1.2   1.2e+03   -3.9   4.0   163   254   334   432   323   454 0.63 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO67980.1           -           1127 3557at5820           -            694     7e-49  165.4  22.9   3   5   7.6e-14   7.7e-11   39.7   3.0    19   162   437   590   414   608 0.77 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO67980.1           -           1127 3557at5820           -            694     7e-49  165.4  22.9   4   5     0.012        12    2.7   0.4   277   321   612   660   601   670 0.76 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO67980.1           -           1127 3557at5820           -            694     7e-49  165.4  22.9   5   5   1.9e-44     2e-41  140.8  12.2   338   685   765  1115   755  1127 0.87 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative [Plasmodium vivax]
SCO66239.1           -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   1   3   2.5e-11   2.5e-08   31.4   0.4    11   162   562   723   552   735 0.66 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO66239.1           -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   2   3     0.017        17    2.2   0.0   277   326   745   793   734   804 0.83 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO66239.1           -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   3   3   1.1e-39   1.1e-36  125.0   6.3   360   685   850  1180   824  1188 0.84 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO66498.1           -            840 3557at5820           -            694   1.2e-42  144.8   8.1   1   3     3e-14     3e-11   41.0   0.6    10   169   185   355   177   361 0.68 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO66498.1           -            840 3557at5820           -            694   1.2e-42  144.8   8.1   2   3    0.0001       0.1    9.5   0.2   277   328   369   419   365   433 0.86 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO66498.1           -            840 3557at5820           -            694   1.2e-42  144.8   8.1   3   3     2e-31     2e-28   97.8   0.1   359   685   478   812   460   820 0.84 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Plasmodium vivax]
SCO70072.1           -           1079 3557at5820           -            694   4.5e-42  142.9  44.8   1   4         6   6.1e+03   -6.9   3.5   195   257    49   114    20   133 0.64 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO70072.1           -           1079 3557at5820           -            694   4.5e-42  142.9  44.8   2   4   3.5e-12   3.5e-09   34.2   1.8    10   168   389   558   380   562 0.81 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO70072.1           -           1079 3557at5820           -            694   4.5e-42  142.9  44.8   3   4   1.3e-05     0.013   12.5   0.7   277   329   573   624   569   629 0.89 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
SCO70072.1           -           1079 3557at5820           -            694   4.5e-42  142.9  44.8   4   4   3.3e-37   3.3e-34  116.9  16.8   358   675   728  1057   711  1077 0.80 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative [Plasmodium vivax]
