#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   1   8   5.2e-20   1.1e-16   59.1   0.1     1    55     1    59     1    63 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   2   8   2.7e-19   5.5e-16   56.7   0.0    59   125   100   174    96   179 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   3   8   3.6e-17   7.2e-14   49.7   0.0   126   176   204   257   193   266 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   4   8   4.6e-10   9.3e-07   26.3   0.0   177   213   286   323   278   330 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   5   8     0.003       6.1    3.8   0.0   208   232   350   375   349   377 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   6   8   5.2e-24   1.1e-20   72.3   0.1   231   320   452   579   446   583 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   7   8   5.3e-35   1.1e-31  108.6   0.0   322   467   623   796   620   841 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 6463at5820           -            563  9.7e-133  442.2  12.4   8   8     2e-18   4.1e-15   53.9   0.4   487   538   864   915   859   965 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 6463at5820           -            563   1.4e-05   22.4   5.0   1   3    0.0067        14    2.6   0.4   299   360   204   273   192   279 0.46 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 6463at5820           -            563   1.4e-05   22.4   5.0   2   3   6.8e-09   1.4e-05   22.4   5.0   315   421   266   375   236   384 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 6463at5820           -            563   1.4e-05   22.4   5.0   3   3     0.014        27    1.6   0.6   333   391   395   453   391   478 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 6463at5820           -            563    0.0041   14.2   2.0   1   2     0.025        51    0.7   0.1   215   257   271   314   264   320 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 6463at5820           -            563    0.0041   14.2   2.0   2   2     1e-05      0.02   12.0   0.2   382   428   442   488   427   515 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6463at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6463at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6463at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:50:24 2026
# [ok]
