#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65392.1           -            315 12613at5820          -            173   5.9e-75  249.6  15.0   1   3   1.3e-74   4.4e-72  240.2  13.3     1   150    51   216    51   221 0.90 small subunit rRNA processing protein, putative [Plasmodium vivax]
SCO65392.1           -            315 12613at5820          -            173   5.9e-75  249.6  15.0   2   3       1.5   5.1e+02   -0.9   0.0   151   162   257   268   254   275 0.81 small subunit rRNA processing protein, putative [Plasmodium vivax]
SCO65392.1           -            315 12613at5820          -            173   5.9e-75  249.6  15.0   3   3      0.17        57    2.2   0.0   157   173   299   315   298   315 0.91 small subunit rRNA processing protein, putative [Plasmodium vivax]
SCO69999.1           -            883 12613at5820          -            173   5.2e-09   34.9   7.5   1   4   0.00053      0.18   10.4   0.0    24    94    18    86    12    94 0.84 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 12613at5820          -            173   5.2e-09   34.9   7.5   2   4      0.13        44    2.6   0.1    19    93   101   172    89   180 0.80 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 12613at5820          -            173   5.2e-09   34.9   7.5   3   4   0.00014     0.046   12.3   0.1    17    91   188   257   179   262 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 12613at5820          -            173   5.2e-09   34.9   7.5   4   4   0.00032      0.11   11.1   0.1    19    93   445   517   433   526 0.82 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 12613at5820          -            173   1.7e-06   26.7   0.1   1   3   0.00072      0.24    9.9   0.0    25    89    91   153    87   157 0.91 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 12613at5820          -            173   1.7e-06   26.7   0.1   2   3   5.9e-05      0.02   13.5   0.0    24    88   189   251   181   265 0.81 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 12613at5820          -            173   1.7e-06   26.7   0.1   3   3       4.2   1.4e+03   -2.3   0.0    22    57   414   451   376   472 0.56 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO69492.1           -            503 12613at5820          -            173   4.2e-06   25.5   8.4   1   3   0.00052      0.18   10.4   0.1    24    80    84   138    65   151 0.78 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
