#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65705.1           -            191 12974at5820          -            164   1.9e-77  257.1  12.1   1   1   4.3e-80   2.2e-77  256.9  12.1    12   163    31   190    17   191 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   1   8   3.8e-05     0.019   13.1   4.3    48    90    11    53     5    56 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   2   8   1.2e-15   5.9e-13   47.3  11.0    18    90    48   122    48   124 0.93 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   3   8   1.1e-09   5.5e-07   27.9   7.6    56   106   111   165   110   168 0.85 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   4   8   8.6e-06    0.0043   15.3   8.1    56   106   134   188   133   190 0.81 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   5   8   6.3e-13   3.2e-10   38.5  22.1     5   102   155   253   152   255 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   6   8   9.3e-13   4.7e-10   37.9  21.2    13   103   186   277   182   282 0.88 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   7   8   9.8e-09     5e-06   24.8   7.9    50   102   248   299   248   302 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 12974at5820          -            164   3.3e-37  126.2 125.4   8   8   9.3e-06    0.0047   15.1   0.7    50   104   294   348   294   357 0.57 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66821.1           -            381 12974at5820          -            164   8.6e-28   95.6  39.6   1   2   1.7e-10   8.6e-08   30.5  13.4    46    93    43    90     5   107 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66821.1           -            381 12974at5820          -            164   8.6e-28   95.6  39.6   2   2     7e-23   3.5e-20   70.8  18.2     4   148   206   349   203   359 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67396.1           -           1007 12974at5820          -            164   2.1e-15   55.3  42.0   1   4       3.9     2e+03   -3.1   0.7    11    50    56    97    47   135 0.58 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO67396.1           -           1007 12974at5820          -            164   2.1e-15   55.3  42.0   2   4   4.5e-09   2.3e-06   25.9   4.8    16    90   170   246   160   250 0.87 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO67396.1           -           1007 12974at5820          -            164   2.1e-15   55.3  42.0   3   4   9.2e-09   4.7e-06   24.9   6.1    47   104   249   305   244   316 0.85 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO67396.1           -           1007 12974at5820          -            164   2.1e-15   55.3  42.0   4   4   2.3e-08   1.2e-05   23.6   6.6    45    96   317   369   311   376 0.85 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO68834.1           -            326 12974at5820          -            164   5.6e-13   47.4  32.9   1   3   5.6e-09   2.8e-06   25.6   5.4    46   103    45   101    38   103 0.89 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO68834.1           -            326 12974at5820          -            164   5.6e-13   47.4  32.9   2   3   7.8e-12   3.9e-09   34.9  11.3    18    97    61   142    56   149 0.88 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO68834.1           -            326 12974at5820          -            164   5.6e-13   47.4  32.9   3   3     6e-05      0.03   12.5  12.4    40    88   177   228   147   253 0.70 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO69468.1           -            798 12974at5820          -            164   9.6e-11   40.1  15.1   1   2       3.3   1.7e+03   -2.9   0.2   114   128    36    50    20    54 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
