#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66475.1           -            719 4609at5820           -            472  1.2e-231  767.9   8.9   1   4  9.4e-121  4.7e-118  393.3   0.2     6   215    24   235    20   249 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 4609at5820           -            472  1.2e-231  767.9   8.9   2   4   2.7e-59   1.4e-56  190.7   0.0   219   334   370   486   343   489 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 4609at5820           -            472  1.2e-231  767.9   8.9   3   4     6e-56     3e-53  179.6   1.1   335   456   524   654   519   659 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 4609at5820           -            472  1.2e-231  767.9   8.9   4   4     0.002         1    6.4   0.0   452   471   689   708   686   709 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4609at5820           -            472   8.8e-15   52.8  39.5   1   4   1.3e-07   6.7e-05   20.3   0.3    46   121   102   176    65   177 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4609at5820           -            472   8.8e-15   52.8  39.5   2   4   1.4e-10   7.3e-08   30.0   1.7   238   335   146   243   145   251 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4609at5820           -            472   8.8e-15   52.8  39.5   3   4   8.4e-05     0.043   11.0   4.7    43   131   250   343   246   371 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4609at5820           -            472   8.8e-15   52.8  39.5   4   4     5e-06    0.0025   15.1  15.4   244   397   348   509   341   522 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   1   4     0.039        20    2.2   8.9   278   373   499   599   448   641 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   2   4     3e-12   1.5e-09   35.6  13.1    45   193   644   785   636   788 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   3   4     0.096        49    0.9  15.1    57   187   767   899   758   910 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
