#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   1  21   0.00018       1.1    3.9   0.1     1    23     1    23     1    30 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   2  21   0.00048       2.9    2.4   0.0    21    40    69    88    62    92 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   3  21  1.4e-117  8.7e-114  379.2   9.6    41   249   170   383   167   385 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   4  21   3.5e-34   2.1e-30  102.5   2.3   244   307   435   498   426   500 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   5  21   6.2e-36   3.8e-32  108.3   0.3   302   379   610   687   598   693 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   6  21    2e-210  1.2e-206  687.3  25.3   377   797   738  1189   734  1191 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   7  21    8e-157  4.8e-153  509.4  21.0   796  1127  1271  1618  1264  1621 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   8  21  4.9e-155    3e-151  503.5   2.2  1128  1522  1647  2126  1641  2129 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9   9  21   5.2e-50   3.2e-46  155.0   2.9  1522  1633  2213  2328  2209  2335 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  10  21  4.3e-200  2.6e-196  653.0  23.0  1640  2109  2425  2964  2408  2966 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  11  21   1.9e-42   1.2e-38  129.9   0.7  2109  2209  2998  3105  2979  3113 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  12  21    0.0005         3    2.4   0.0  2199  2231  3129  3162  3121  3172 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  13  21   3.1e-91   1.9e-87  291.8   4.1  2226  2492  3208  3507  3199  3512 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  14  21   9.3e-34   5.6e-30  101.1   0.7  2493  2564  3566  3637  3561  3640 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  15  21   3.4e-24   2.1e-20   69.3   0.0  2564  2636  3694  3774  3682  3785 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  16  21     6e-36   3.6e-32  108.3   0.1  2648  2748  3853  3969  3841  3978 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  17  21   2.3e-28   1.4e-24   83.2   1.8  2790  2889  4222  4345  4220  4354 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  18  21   8.3e-51   5.1e-47  157.6   4.3  2885  3045  4390  4588  4388  4592 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  19  21  1.3e-138    8e-135  449.0   0.0  3042  3356  4621  4952  4616  4955 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  20  21   2.4e-11   1.4e-07   26.7   1.1  3354  3388  5037  5071  5027  5089 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66195.1           -           5191 70at5820             -           3440         0 4501.0 220.9  21  21   1.3e-21   7.7e-18   60.8   0.9  3376  3440  5118  5190  5116  5190 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/70at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:56:34 2026
# [ok]
