#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67445.1           -           1585 813at5820            -           1226         0 2357.2  75.7   1   4         0         0 1238.0  48.4     1   700    64   858    64   871 0.92 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 813at5820            -           1226         0 2357.2  75.7   2   4  3.4e-105  6.8e-102  340.3   0.8   710   871   972  1139   967  1149 0.96 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 813at5820            -           1226         0 2357.2  75.7   3   4  3.8e-103  7.7e-100  333.5   0.1   868  1029  1175  1343  1165  1349 0.94 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 813at5820            -           1226         0 2357.2  75.7   4   4  1.9e-139  3.8e-136  453.7   7.5  1029  1226  1388  1585  1379  1585 0.99 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO69166.1           -           1433 813at5820            -           1226  4.7e-109  364.0  30.2   1   5   5.2e-12     1e-08   31.6  13.3    42   209   229   397   206   612 0.81 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO69166.1           -           1433 813at5820            -           1226  4.7e-109  364.0  30.2   2   5   1.2e-12   2.5e-09   33.7   0.0   476   640   663   819   638   829 0.70 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO69166.1           -           1433 813at5820            -           1226  4.7e-109  364.0  30.2   3   5   1.5e-33   3.1e-30  102.9   0.1   713   864   855  1009   838  1014 0.91 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO69166.1           -           1433 813at5820            -           1226  4.7e-109  364.0  30.2   4   5   5.4e-31   1.1e-27   94.5   0.0   920  1005  1181  1271  1129  1275 0.81 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO69166.1           -           1433 813at5820            -           1226  4.7e-109  364.0  30.2   5   5   3.5e-35   7.1e-32  108.3   1.6  1040  1154  1274  1388  1267  1431 0.96 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO65597.1           -           1346 813at5820            -           1226  1.2e-106  356.0  19.7   1   5   3.4e-09   6.9e-06   22.3   0.0    44   184    48   211    37   228 0.78 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO65597.1           -           1346 813at5820            -           1226  1.2e-106  356.0  19.7   2   5   3.7e-09   7.5e-06   22.1   0.0   472   540   488   558   456   571 0.72 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO65597.1           -           1346 813at5820            -           1226  1.2e-106  356.0  19.7   3   5   3.1e-34   6.2e-31  105.2   1.1   690   852   675   835   619   843 0.83 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO65597.1           -           1346 813at5820            -           1226  1.2e-106  356.0  19.7   4   5   7.2e-35   1.5e-31  107.3   0.1   918  1012  1086  1180  1071  1184 0.96 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO65597.1           -           1346 813at5820            -           1226  1.2e-106  356.0  19.7   5   5   5.6e-35   1.1e-31  107.7   2.6  1044  1214  1185  1341  1178  1346 0.87 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/813at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:32 2026
# [ok]
