#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67193.1           -            150 14379at5820          -            118   8.7e-50  166.3   7.7   1   1   3.6e-52   4.4e-49  164.0   7.7     1   118     1   150     1   150 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCA60411.1           -            440 14379at5820          -            118   0.00052   18.6   3.8   1   3   4.3e-07   0.00052   18.6   3.8    52   106    27    81    17    90 0.93 Plasmodium vivax Vir protein, putative [Plasmodium vivax]
SCA60411.1           -            440 14379at5820          -            118   0.00052   18.6   3.8   2   3         1   1.2e+03   -1.9   1.8    58    91   124   157    85   189 0.59 Plasmodium vivax Vir protein, putative [Plasmodium vivax]
SCA60411.1           -            440 14379at5820          -            118   0.00052   18.6   3.8   3   3      0.62   7.5e+02   -1.2   0.3    23    53   253   284   231   300 0.60 Plasmodium vivax Vir protein, putative [Plasmodium vivax]
SCO68144.1           -           1221 14379at5820          -            118    0.0081   14.8   4.4   1   1   2.1e-05     0.026   13.2   4.4     6    77   757   828   753   857 0.88 DNA polymerase 1, putative [Plasmodium vivax]
SCO67167.1           -            658 14379at5820          -            118      0.43    9.2   5.8   1   2    0.0037       4.5    5.9   2.9    25   113   439   534   412   539 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67167.1           -            658 14379at5820          -            118      0.43    9.2   5.8   2   2     0.021        26    3.5   0.1    83   110   541   568   535   572 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67838.1           -            126 14379at5820          -            118      0.48    9.1   8.1   1   2    0.0016         2    7.1   2.3    47    82    32    67     4    81 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67838.1           -            126 14379at5820          -            118      0.48    9.1   8.1   2   2    0.0067       8.1    5.1   0.9    26    58    84   116    69   125 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14379at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14379at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14379at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:11 2026
# [ok]
