#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   1  29   1.6e-22   9.7e-19   63.5   0.2    33    86   165   218   161   223 0.95 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   2  29   9.4e-35   5.7e-31  104.1   0.7    87   160   273   346   261   350 0.92 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   3  29   3.9e-18   2.4e-14   48.9   0.4   156   209   374   429   371   445 0.92 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   4  29   7.9e-90   4.8e-86  286.9   3.6   213   391   486   686   476   693 0.89 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   5  29  3.6e-159  2.2e-155  517.1  14.3   396   711   725  1063   717  1069 0.96 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   6  29   4.9e-55     3e-51  171.4   0.1   726   815  1133  1222  1121  1244 0.90 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   7  29   7.7e-95   4.7e-91  303.5   0.2   810   995  1258  1457  1255  1468 0.92 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   8  29  3.3e-219    2e-215  716.4   4.9   986  1311  1491  1816  1485  1822 0.99 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4   9  29         0         0 1298.1  14.3  1311  1988  1845  2600  1838  2619 0.91 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  10  29  2.6e-137  1.6e-133  444.5   7.8  1997  2272  2668  2980  2658  2989 0.91 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  11  29   3.1e-08   0.00019   16.1   0.0  2248  2302  3043  3097  3038  3101 0.91 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  12  29   6.5e-78   3.9e-74  247.4  25.0  2301  2554  3131  3477  3119  3480 0.78 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  13  29   2.5e-16   1.5e-12   42.9   3.7  2555  2647  3523  3660  3509  3673 0.70 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  14  29   5.8e-08   0.00035   15.1   0.3  2645  2674  3715  3744  3702  3751 0.88 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  15  29   2.2e-06     0.013    9.9   0.2  2671  2703  3782  3819  3779  3825 0.90 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  16  29   2.4e-14   1.5e-10   36.3   4.0  2703  2740  3874  3911  3872  3915 0.94 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  17  29   2.6e-17   1.6e-13   46.2   0.1  2736  2784  3940  3988  3936  3995 0.93 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  18  29   3.5e-14   2.1e-10   35.8   0.1  2785  2822  4018  4055  4011  4063 0.92 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  19  29     7e-28   4.2e-24   81.3   1.1  2819  2894  4132  4219  4128  4235 0.89 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  20  29   1.5e-14   8.8e-11   37.1   0.0  2892  2974  4247  4356  4239  4361 0.76 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  21  29   1.5e-79   8.9e-76  252.8  11.8  2969  3187  4411  4674  4403  4678 0.87 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  22  29   2.3e-53   1.4e-49  165.9   4.7  3182  3308  4703  4835  4699  4845 0.93 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
SCO69261.1           -           7290 40at5820             -           4729         0 6842.8 398.4  23  29  6.1e-108  3.7e-104  347.0  19.9  3309  3570  4884  5180  4880  5184 0.90 dynein-related AAA-type ATPase, putative [Plasmodium vivax]
