#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66593.1           -            156 13418at5820          -            141     7e-81  267.8   0.6   1   1   5.3e-84     8e-81  267.6   0.6     1   141     7   156     7   156 0.95 CS domain protein, putative [Plasmodium vivax]
SCO68558.1           -            378 13418at5820          -            141   3.6e-07   28.9   5.4   1   3      0.68     1e+03   -1.8   0.2    83   106    66    87    41    95 0.75 nuclear movement protein, putative [Plasmodium vivax]
SCO68558.1           -            378 13418at5820          -            141   3.6e-07   28.9   5.4   2   3   2.4e-10   3.6e-07   28.9   5.4    11    95   208   298   200   313 0.84 nuclear movement protein, putative [Plasmodium vivax]
SCO68558.1           -            378 13418at5820          -            141   3.6e-07   28.9   5.4   3   3   0.00071       1.1    7.9   0.5    92   127   330   366   317   377 0.81 nuclear movement protein, putative [Plasmodium vivax]
SCO66523.1           -            965 13418at5820          -            141   2.5e-05   22.9   0.1   1   2   1.3e-07    0.0002   20.0   0.1    10    85    92   172    83   216 0.82 CS domain protein, putative [Plasmodium vivax]
SCO66523.1           -            965 13418at5820          -            141   2.5e-05   22.9   0.1   2   2      0.85   1.3e+03   -2.1   0.0    91   123   337   366   293   371 0.75 CS domain protein, putative [Plasmodium vivax]
SCO68963.1           -            321 13418at5820          -            141      0.01   14.4   1.2   1   3     0.046        70    2.0   0.0    83   122    49    88    43   102 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68963.1           -            321 13418at5820          -            141      0.01   14.4   1.2   2   3   0.00012      0.18   10.4   0.0    11    28   125   142   113   179 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68963.1           -            321 13418at5820          -            141      0.01   14.4   1.2   3   3      0.87   1.3e+03   -2.1   0.1   114   125   229   240   198   258 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:19 2026
# [ok]
