#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67352.1           -            246 13512at5820          -            166   6.6e-75  249.1  17.3   1   2   6.6e-43     1e-39  134.7   1.9     1    76     4    79     4    83 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67352.1           -            246 13512at5820          -            166   6.6e-75  249.1  17.3   2   2   2.5e-38   3.9e-35  119.8   7.9    76   165   117   226   110   227 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69220.1           -            381 13512at5820          -            166   1.6e-30  104.8   0.2   1   5   1.1e-07   0.00017   20.1   0.0    15    66    11    62     5    87 0.80 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 13512at5820          -            166   1.6e-30  104.8   0.2   2   5   1.3e-07   0.00019   19.9   0.0    15    66    87   138    77   162 0.80 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 13512at5820          -            166   1.6e-30  104.8   0.2   3   5   1.2e-07   0.00018   20.0   0.0    15    66   163   214   153   239 0.80 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 13512at5820          -            166   1.6e-30  104.8   0.2   4   5   1.4e-07   0.00022   19.7   0.0    15    65   239   289   233   313 0.81 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 13512at5820          -            166   1.6e-30  104.8   0.2   5   5   2.1e-07   0.00032   19.2   0.0    15    64   315   364   306   373 0.85 polyubiquitin 5, putative [Plasmodium vivax]
SCO67964.1           -            128 13512at5820          -            166   2.4e-05   22.9   0.0   1   1   2.3e-08   3.5e-05   22.3   0.0    15    64    11    60     4    73 0.84 ubiquitin-60S ribosomal protein L40, putative [Plasmodium vivax]
SCO69717.1           -             76 13512at5820          -            166     0.012   14.0   0.0   1   1   8.1e-06     0.012   14.0   0.0    30    63    26    59     5    69 0.79 ubiquitin-like protein nedd8 homologue, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13512at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13512at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13512at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:37 2026
# [ok]
