#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66816.1           -            807 4861at5820           -            564  8.4e-298  987.5  78.2   1   2  7.6e-154  7.7e-151  502.4  18.3     1   248   118   365   118   376 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66816.1           -            807 4861at5820           -            564  8.4e-298  987.5  78.2   2   2  8.8e-148  8.9e-145  482.4  51.9   257   564   459   807   441   807 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4861at5820           -            564   2.3e-14   51.8  36.8   1   3     9e-10   9.1e-07   26.8   3.9    59   181    84   206    73   213 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4861at5820           -            564   2.3e-14   51.8  36.8   2   3   0.00017      0.18    9.3  11.7    50   214   186   361   182   376 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 4861at5820           -            564   2.3e-14   51.8  36.8   3   3   4.7e-10   4.8e-07   27.7   8.0    60   179   396   514   386   521 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 4861at5820           -            564   5.7e-08   30.7   0.9   1   3   5.6e-11   5.7e-08   30.7   0.9    81   195    64   183    12   228 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 4861at5820           -            564   5.7e-08   30.7   0.9   2   3      0.01        10    3.5   0.1    80   158   385   464   377   489 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 4861at5820           -            564   5.7e-08   30.7   0.9   3   3      0.67   6.7e+02   -2.5   0.4    53   106   540   593   525   633 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4861at5820           -            564   1.6e-07   29.2  16.1   1   2   2.4e-08   2.4e-05   22.1   3.4    90   217   198   326   160   345 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4861at5820           -            564   1.6e-07   29.2  16.1   2   2   1.7e-05     0.017   12.7   4.8    45   172   377   508   346   535 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4861at5820           -            564   9.7e-07   26.7  16.3   1   5       0.1     1e+02    0.2   0.0    36    84    84   132    76   139 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4861at5820           -            564   9.7e-07   26.7  16.3   2   5     0.028        28    2.0   0.1   123   160   188   225   184   238 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4861at5820           -            564   9.7e-07   26.7  16.3   3   5   1.3e-07   0.00013   19.6   8.3    85   218   345   484   338   508 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4861at5820           -            564   9.7e-07   26.7  16.3   4   5       1.8   1.8e+03   -4.0   0.1   499   519   568   589   560   596 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4861at5820           -            564   9.7e-07   26.7  16.3   5   5    0.0017       1.7    6.0   0.0   154   235   733   814   718   842 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66655.1           -            976 4861at5820           -            564   0.00063   17.4   0.0   1   1   9.9e-07     0.001   16.7   0.0    64   146   635   717   627   752 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4861at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4861at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4861at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:48:26 2026
# [ok]
