#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67752.1           -           1386 2594at5820           -           1171         0 1350.9  28.9   1   1         0         0 1346.7  28.9     6  1170    11  1385     9  1386 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   1   7   4.8e-06    0.0027   13.9   7.4   255   295    32    72    23    81 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   2   7   2.6e-09   1.5e-06   24.7   9.4   257   297    80   120    73   127 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   3   7   3.4e-09   1.9e-06   24.3   7.7   257   296   103   142   103   148 0.93 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   4   7   1.6e-11   9.1e-09   32.0  27.6   217   304   126   224   125   225 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   5   7   1.1e-10   6.2e-08   29.3   8.2   257   301   223   267   221   268 0.94 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   6   7   5.7e-11   3.2e-08   30.2   7.6   256   309   268   322   265   328 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO66250.1           -            369 2594at5820           -           1171   1.4e-31  107.6  89.6   7   7   2.7e-07   0.00015   18.1   0.6   258   316   293   352   293   360 0.88 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO67396.1           -           1007 2594at5820           -           1171   1.7e-08   31.1  51.3   1   3      0.36     2e+02   -2.2   1.3   883   911    62    89    10   145 0.51 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO67396.1           -           1007 2594at5820           -           1171   1.7e-08   31.1  51.3   2   3   4.2e-09   2.3e-06   24.1  10.2   217   295   181   242   166   246 0.93 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO67396.1           -           1007 2594at5820           -           1171   1.7e-08   31.1  51.3   3   3     3e-07   0.00017   17.9  24.2   122   242   249   368   243   376 0.72 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO68834.1           -            326 2594at5820           -           1171     5e-08   29.6  36.7   1   2   0.00049      0.27    7.3   3.7   259   296    49    86    40    93 0.88 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO68834.1           -            326 2594at5820           -           1171     5e-08   29.6  36.7   2   2   2.7e-09   1.5e-06   24.7   5.4   253   319    89   155    84   174 0.93 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO67785.1           -           1389 2594at5820           -           1171   3.7e-07   26.7  52.4   1   3     0.003       1.6    4.7  17.3    48   160   802   903   734   936 0.77 MORN repeat protein, putative [Plasmodium vivax]
SCO67785.1           -           1389 2594at5820           -           1171   3.7e-07   26.7  52.4   2   3   1.1e-08   6.3e-06   22.6  15.5    67   191   889  1002   887  1023 0.91 MORN repeat protein, putative [Plasmodium vivax]
SCO67785.1           -           1389 2594at5820           -           1171   3.7e-07   26.7  52.4   3   3   1.2e-05    0.0064   12.7   6.6   249   322  1273  1345  1258  1348 0.89 MORN repeat protein, putative [Plasmodium vivax]
SCO65705.1           -            191 2594at5820           -           1171   0.00011   18.5  16.0   1   2    0.0056       3.1    3.8   0.2   166   192    38    64    33    67 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65705.1           -            191 2594at5820           -           1171   0.00011   18.5  16.0   2   2   5.5e-07   0.00031   17.0  11.1   259   296    71   109    64   133 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66657.1           -            226 2594at5820           -           1171    0.0032   13.6   3.5   1   1   5.7e-06    0.0031   13.7   3.5   848   936    76   161    16   207 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66582.1           -           1169 2594at5820           -           1171      0.01   12.0  19.9   1   2   1.3e-05    0.0073   12.5   2.7   273   299    36    62    35    68 0.91 protein kinase, putative [Plasmodium vivax]
SCO66582.1           -           1169 2594at5820           -           1171      0.01   12.0  19.9   2   2    0.0014      0.79    5.7   8.5   259   311    69   120    64   143 0.83 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2594at5820           -           1171       0.2    7.7  20.9   1   3     2e-05     0.011   11.8   3.9   267   322    29    84    16   104 0.86 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2594at5820           -           1171       0.2    7.7  20.9   2   3   0.00032      0.17    7.9   1.1   791   921   347   562   335   570 0.57 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2594at5820           -           1171       0.2    7.7  20.9   3   3      0.62   3.4e+02   -3.0   1.5   914   914  1029  1029   972  1072 0.48 protein kinase, putative [Plasmodium vivax]
SCO65637.1           -           1029 2594at5820           -           1171      0.21    7.7  23.9   1   3   0.00017     0.094    8.8   8.7   251   295    11    55     2    83 0.83 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2594at5820           -           1171      0.21    7.7  23.9   2   3   0.00038      0.21    7.6   2.3   277   317    91   132    85   138 0.87 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2594at5820           -           1171      0.21    7.7  23.9   3   3      0.15        81   -0.9   0.2   693   751   611   660   567   688 0.50 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO69342.1           -            148 2594at5820           -           1171      0.35    6.9   7.3   1   1   0.00035      0.19    7.8   4.8   272   315    14    57     8    64 0.70 MORN repeat protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2594at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2594at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2594at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:41:08 2026
# [ok]
