#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   1   6   5.1e-23   3.3e-20   70.7   1.0     1    69    18   106    18   114 0.85 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   2   6   1.5e-35   9.9e-33  112.1  16.0    54   139   135   224   127   228 0.86 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   3   6  9.4e-156  6.1e-153  509.0  33.2   129   394   241   525   226   528 0.92 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   4   6   8.2e-13   5.3e-10   37.0   0.0   393   429   779   819   776   881 0.77 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   5   6     3e-55   1.9e-52  177.2   7.5   429   521   898   990   892   994 0.96 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   6   6   6.2e-36     4e-33  113.4   2.0   501   586   993  1079   989  1079 0.94 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 4909at5820           -            586   1.3e-08   32.4  21.0   1   4   6.5e-10   4.2e-07   27.4   0.5    90   130     9    49     2    53 0.84 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 4909at5820           -            586   1.3e-08   32.4  21.0   2   4     0.024        15    2.5   0.0   153   183    43    76    41    81 0.83 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 4909at5820           -            586   1.3e-08   32.4  21.0   3   4     5e-07   0.00032   17.9  14.2   214   328   174   296   133   310 0.69 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 4909at5820           -            586   1.3e-08   32.4  21.0   4   4        10   6.5e+03   -6.5   7.1   107   159   623   675   610   698 0.51 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 4909at5820           -            586   2.4e-07   28.2   0.6   1   2   2.9e-08   1.8e-05   22.0   0.0    86   125     3    42     1    51 0.84 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
