#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723572.1         -           1680 1124at5820           -           1191         0 2427.0 172.3   1   6  4.8e-147  4.4e-144  480.4  39.0     1   264     1   275     1   301 0.94 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1124at5820           -           1191         0 2427.0 172.3   2   6   4.5e-44   4.2e-41  139.3  16.2   245   336   318   410   291   419 0.87 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1124at5820           -           1191         0 2427.0 172.3   3   6  5.4e-124    5e-121  404.0  19.4   333   527   597   791   579   844 0.93 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1124at5820           -           1191         0 2427.0 172.3   4   6   3.4e-31   3.1e-28   96.7   1.5   526   594   948  1020   934  1024 0.87 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1124at5820           -           1191         0 2427.0 172.3   5   6   6.1e-11   5.7e-08   29.6   8.9   593   630  1055  1092  1048  1103 0.84 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1124at5820           -           1191         0 2427.0 172.3   6   6         0         0 1302.2  58.1   595  1191  1086  1680  1084  1680 0.98 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1124at5820           -           1191   4.2e-68  228.7  35.3   1   5   7.8e-24   7.2e-21   72.3   7.6    57   208    65   214    23   252 0.79 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1124at5820           -           1191   4.2e-68  228.7  35.3   2   5   3.5e-13   3.2e-10   37.0   3.0   358   519   342   532   327   544 0.73 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1124at5820           -           1191   4.2e-68  228.7  35.3   3   5      0.17   1.5e+02   -1.7   0.0   639   671   784   817   774   828 0.73 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1124at5820           -           1191   4.2e-68  228.7  35.3   4   5   4.5e-25   4.2e-22   76.4   3.8   677   846   948  1126   931  1153 0.81 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1124at5820           -           1191   4.2e-68  228.7  35.3   5   5   3.4e-19   3.1e-16   56.9   0.1   888  1033  1268  1414  1256  1442 0.77 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
