#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   1  16      0.31   9.9e+02   -3.8   0.3     1    14     1    14     1    15 0.93 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   2  16   5.7e-28   1.9e-24   84.6   8.1     9   106    35   136    29   174 0.68 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   3  16     0.027        86   -0.3   0.6    78   105   142   172   121   196 0.80 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   4  16    0.0015         5    3.8   3.9   100   132   311   345   297   370 0.73 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   5  16   5.6e-12   1.8e-08   31.7   5.8    88   185   357   464   344   475 0.75 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   6  16   1.3e-56   4.3e-53  179.4   8.9   186   291   618   723   612   728 0.96 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   7  16     1e-21   3.4e-18   63.9   0.0   281   337   735   791   729   823 0.88 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   8  16  9.8e-103   3.2e-99  332.1  29.1   348   573   929  1175   903  1178 0.91 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0   9  16   1.1e-11   3.6e-08   30.7   0.1   572   597  1244  1269  1242  1277 0.94 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0  10  16   3.1e-13   9.9e-10   35.9   0.2   597   641  1306  1363  1302  1373 0.83 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720368.1         -           2042 2702at5820           -            961         0 1120.3 175.0  11  16     4e-09   1.3e-05   22.3   7.5   644   705  1410  1465  1405  1495 0.61 | transcript=PVPAM_090013300_t1 | gene=PVPAM_090013300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:459929-466212(-) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
