#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720596.1         -            765 8314at5820           -            476  4.7e-201  667.4  71.5   1   6     1e-15   3.4e-12   44.6   1.8     1    31     1    31     1    36 0.96 | transcript=PVPAM_090036000_t1 | gene=PVPAM_090036000 | organism=Plasmodium_vivax_PAM | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=CASCJQ010000009:1373589-1375886(-) | protein_length=765 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720596.1         -            765 8314at5820           -            476  4.7e-201  667.4  71.5   2   6   3.8e-33   1.2e-29  102.1   6.1    29    94    48   115    40   118 0.95 | transcript=PVPAM_090036000_t1 | gene=PVPAM_090036000 | organism=Plasmodium_vivax_PAM | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=CASCJQ010000009:1373589-1375886(-) | protein_length=765 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720596.1         -            765 8314at5820           -            476  4.7e-201  667.4  71.5   3   6   1.1e-28   3.4e-25   87.5   1.0    91   155   130   202   121   209 0.86 | transcript=PVPAM_090036000_t1 | gene=PVPAM_090036000 | organism=Plasmodium_vivax_PAM | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=CASCJQ010000009:1373589-1375886(-) | protein_length=765 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720596.1         -            765 8314at5820           -            476  4.7e-201  667.4  71.5   4   6   1.5e-30     5e-27   93.5   1.2   127   212   292   377   285   385 0.94 | transcript=PVPAM_090036000_t1 | gene=PVPAM_090036000 | organism=Plasmodium_vivax_PAM | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=CASCJQ010000009:1373589-1375886(-) | protein_length=765 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720596.1         -            765 8314at5820           -            476  4.7e-201  667.4  71.5   5   6   5.1e-53   1.6e-49  167.6  12.3   204   345   405   563   387   565 0.86 | transcript=PVPAM_090036000_t1 | gene=PVPAM_090036000 | organism=Plasmodium_vivax_PAM | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=CASCJQ010000009:1373589-1375886(-) | protein_length=765 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720596.1         -            765 8314at5820           -            476  4.7e-201  667.4  71.5   6   6   3.2e-63     1e-59  201.3  11.4   345   469   616   740   611   744 0.97 | transcript=PVPAM_090036000_t1 | gene=PVPAM_090036000 | organism=Plasmodium_vivax_PAM | gene_product=serpentine receptor 1, putative | transcript_product=serpentine receptor 1, putative | location=CASCJQ010000009:1373589-1375886(-) | protein_length=765 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720659.1         -            650 8314at5820           -            476   1.2e-26   92.2  39.5   1   3     0.032     1e+02    0.1   2.7    37    93    75   125    68   163 0.72 | transcript=PVPAM_090042400_t1 | gene=PVPAM_090042400 | organism=Plasmodium_vivax_PAM | gene_product=CLPTM1 domain-containing protein, putative | transcript_product=CLPTM1 domain-containing protein, putative | location=CASCJQ010000009:1658049-1660001(-) | protein_length=650 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720659.1         -            650 8314at5820           -            476   1.2e-26   92.2  39.5   2   3     0.021        68    0.7   3.7   147   212   219   287   203   306 0.76 | transcript=PVPAM_090042400_t1 | gene=PVPAM_090042400 | organism=Plasmodium_vivax_PAM | gene_product=CLPTM1 domain-containing protein, putative | transcript_product=CLPTM1 domain-containing protein, putative | location=CASCJQ010000009:1658049-1660001(-) | protein_length=650 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720659.1         -            650 8314at5820           -            476   1.2e-26   92.2  39.5   3   3   3.7e-30   1.2e-26   92.2  39.5   205   472   326   628   292   632 0.70 | transcript=PVPAM_090042400_t1 | gene=PVPAM_090042400 | organism=Plasmodium_vivax_PAM | gene_product=CLPTM1 domain-containing protein, putative | transcript_product=CLPTM1 domain-containing protein, putative | location=CASCJQ010000009:1658049-1660001(-) | protein_length=650 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8314at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8314at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8314at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:41 2026
# [ok]
