#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720473.1         -            366 10221at5820          -            271  1.5e-117  390.4   6.9   1   3     1e-37     5e-35  119.7   0.5     1   100     8   129     8   151 0.83 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 10221at5820          -            271  1.5e-117  390.4   6.9   2   3   1.7e-20   8.6e-18   63.2   0.0    99   155   156   217   149   221 0.89 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 10221at5820          -            271  1.5e-117  390.4   6.9   3   3     7e-63   3.5e-60  202.2   1.5   155   271   244   361   241   361 0.97 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 10221at5820          -            271   7.4e-23   79.8   1.1   1   3   5.3e-14   2.6e-11   42.0   0.0   161   253   380   475   349   480 0.84 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 10221at5820          -            271   7.4e-23   79.8   1.1   2   3   2.1e-08   1.1e-05   23.6   0.0   196   249   487   540   475   560 0.87 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 10221at5820          -            271   7.4e-23   79.8   1.1   3   3   6.8e-05     0.034   12.1   0.0   196   256   620   677   548   683 0.78 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 10221at5820          -            271   3.1e-22   77.8   7.3   1   3   3.8e-16   1.9e-13   49.0   0.9   173   257  1057  1141  1045  1151 0.93 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 10221at5820          -            271   3.1e-22   77.8   7.3   2   3   3.7e-09   1.8e-06   26.1   0.2   197   249  1157  1209  1144  1224 0.89 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 10221at5820          -            271   3.1e-22   77.8   7.3   3   3     0.013       6.4    4.6   0.0   198   249  1225  1276  1213  1283 0.92 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 10221at5820          -            271   5.8e-18   63.8   3.4   1   2   4.7e-13   2.4e-10   38.8   0.1   198   262    42   106    35   108 0.95 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 10221at5820          -            271   5.8e-18   63.8   3.4   2   2   9.7e-10   4.8e-07   28.0   1.0   194   252   104   162   100   175 0.89 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 10221at5820          -            271   8.3e-18   63.3   2.9   1   3       3.3   1.6e+03   -3.3   0.0   195   235   872   913   861   916 0.66 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 10221at5820          -            271   8.3e-18   63.3   2.9   2   3     5e-11   2.5e-08   32.2   0.2   197   248  1211  1262  1141  1264 0.74 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
