#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723393.1         -            244 14189at5820          -            195  2.6e-108  358.6  34.0   1   2   3.2e-33     3e-30  103.9   8.8     1    80     1    82     1   104 0.80 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 14189at5820          -            195  2.6e-108  358.6  34.0   2   2   4.2e-81   3.9e-78  260.1  18.1    61   195   110   244    99   244 0.97 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 14189at5820          -            195   4.5e-15   54.4   1.0   1   2   7.9e-08   7.3e-05   21.1   0.0   117   169     6    58     1    64 0.89 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 14189at5820          -            195   4.5e-15   54.4   1.0   2   2   2.5e-11   2.3e-08   32.4   0.2   121   189    83   147    62   149 0.78 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 14189at5820          -            195     3e-11   41.9   3.6   1   2   3.2e-06    0.0029   15.8   0.1   116   152    21    57    16    65 0.88 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 14189at5820          -            195     3e-11   41.9   3.6   2   2   1.8e-09   1.6e-06   26.4   1.5   101   165    80   143    58   156 0.76 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14189at5820          -            195     1e-10   40.2   4.8   1   2   1.9e-06    0.0018   16.5   1.3   114   191    31   103    27   106 0.83 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14189at5820          -            195     1e-10   40.2   4.8   2   2   3.9e-09   3.6e-06   25.3   0.1   122   165   111   154   101   171 0.85 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14189at5820          -            195   4.4e-08   31.5   0.6   1   3   0.00026      0.24    9.5   0.0   122   157    27    62    18    74 0.87 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14189at5820          -            195   4.4e-08   31.5   0.6   2   3      0.17   1.6e+02    0.4   0.0   145   170    67    92    64   100 0.77 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14189at5820          -            195   4.4e-08   31.5   0.6   3   3   2.7e-07   0.00025   19.3   0.3   105   167    84   145    73   165 0.80 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
