#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722510.1         -            269 10609at5820          -            225  5.6e-147  485.5   3.1   1   1  9.1e-150  6.5e-147  485.3   3.1     1   224     1   226     1   227 0.99 | transcript=PVPAM_120074900_t1 | gene=PVPAM_120074900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=CASCJQ010000012:2917627-2918866(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721315.1         -            241 10609at5820          -            225   1.3e-35  121.2   0.2   1   1   2.5e-38   1.8e-35  120.8   0.2     6   206     3   203     1   223 0.86 | transcript=PVPAM_110021800_t1 | gene=PVPAM_110021800 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=CASCJQ010000011:706641-707963(-) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717977.1         -            256 10609at5820          -            225   9.2e-34  115.2   0.1   1   1   1.7e-36   1.2e-33  114.8   0.1     3   214     5   224     3   234 0.79 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 10609at5820          -            225     3e-27   93.9   0.9   1   2   5.2e-30   3.7e-27   93.6   0.3     5   200     4   204     1   219 0.86 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 10609at5820          -            225     3e-27   93.9   0.9   2   2      0.96   6.9e+02   -2.2   0.0    93   118   222   245   206   246 0.69 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721546.1         -            235 10609at5820          -            225   1.1e-25   88.7   0.1   1   1     2e-28   1.4e-25   88.4   0.1    12   222    12   223     3   226 0.90 | transcript=PVPAM_110045100_t1 | gene=PVPAM_110045100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=CASCJQ010000011:1676814-1677673(+) | protein_length=235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717747.1         -            260 10609at5820          -            225   1.4e-21   75.3   1.8   1   1   2.8e-24     2e-21   74.8   1.8     4   217     7   239     4   246 0.76 | transcript=PVPAM_010026100_t1 | gene=PVPAM_010026100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=CASCJQ010000001:945649-947062(-) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720133.1         -            253 10609at5820          -            225   5.4e-17   60.3   3.1   1   1   9.5e-20   6.8e-17   60.0   3.1     6   192     8   200     5   231 0.82 | transcript=PVPAM_080035500_t1 | gene=PVPAM_080035500 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=CASCJQ010000008:1395362-1396221(+) | protein_length=253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 10609at5820          -            225    0.0012   16.7   0.0   1   1   2.4e-06    0.0017   16.1   0.0    51    96    32    77     6   100 0.72 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720952.1         -            241 10609at5820          -            225     0.014   13.2   0.0   1   1   3.6e-05     0.026   12.3   0.0    29    91    35   100    27   119 0.80 | transcript=PVPAM_100022000_t1 | gene=PVPAM_100022000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=CASCJQ010000010:755925-757413(+) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10609at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
