#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718905.1         -            231 11576at5820          -            205  3.9e-108  358.3   3.2   1   1  4.9e-111  4.5e-108  358.1   3.2     1   205     7   225     7   225 0.96 | transcript=PVPAM_050029700_t1 | gene=PVPAM_050029700 | organism=Plasmodium_vivax_PAM | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=CASCJQ010000005:1024295-1024990(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719988.1         -            242 11576at5820          -            205   1.3e-34  118.2   1.4   1   1     2e-37   1.8e-34  117.7   1.4     3   196    31   228    30   236 0.84 | transcript=PVPAM_080021000_t1 | gene=PVPAM_080021000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=CASCJQ010000008:761221-762220(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718866.1         -            259 11576at5820          -            205   4.6e-11   41.3   0.5   1   1   3.3e-13   3.1e-10   38.6   0.5     4   174    11   218     9   236 0.72 | transcript=PVPAM_050026000_t1 | gene=PVPAM_050026000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=CASCJQ010000005:898847-899626(-) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717880.1         -            373 11576at5820          -            205   3.8e-08   31.8   9.3   1   3   9.8e-08     9e-05   20.7   0.4     3    72   107   182   105   191 0.75 | transcript=PVPAM_020011200_t1 | gene=PVPAM_020011200 | organism=Plasmodium_vivax_PAM | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=CASCJQ010000002:302243-303942(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717880.1         -            373 11576at5820          -            205   3.8e-08   31.8   9.3   2   3   1.4e-05     0.013   13.7   1.4    58   137   244   331   217   335 0.69 | transcript=PVPAM_020011200_t1 | gene=PVPAM_020011200 | organism=Plasmodium_vivax_PAM | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=CASCJQ010000002:302243-303942(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717880.1         -            373 11576at5820          -            205   3.8e-08   31.8   9.3   3   3    0.0026       2.4    6.3   0.3   149   189   308   353   304   364 0.73 | transcript=PVPAM_020011200_t1 | gene=PVPAM_020011200 | organism=Plasmodium_vivax_PAM | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=CASCJQ010000002:302243-303942(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719767.1         -            270 11576at5820          -            205    0.0012   17.0   0.0   1   1   2.3e-06    0.0021   16.3   0.0    53    95   109   156    94   254 0.84 | transcript=PVPAM_070038100_t1 | gene=PVPAM_070038100 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase-like protein 2, putative | transcript_product=adenylate kinase-like protein 2, putative | location=CASCJQ010000007:1391867-1393362(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 11576at5820          -            205    0.0021   16.3   1.4   1   3    0.0014       1.3    7.2   0.0     1    39   419   456   419   468 0.89 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 11576at5820          -            205    0.0021   16.3   1.4   2   3    0.0012       1.1    7.4   0.0    65    89   521   545   462   551 0.65 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 11576at5820          -            205    0.0021   16.3   1.4   3   3         2   1.9e+03   -3.2   0.3   173   200   689   717   670   718 0.68 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721576.1         -           1685 11576at5820          -            205    0.0037   15.5   0.1   1   2   0.00012      0.11   10.6   0.1    18    84   587   658   576   672 0.84 | transcript=PVPAM_110048100_t1 | gene=PVPAM_110048100 | organism=Plasmodium_vivax_PAM | gene_product=nucleoside diphosphate kinase, putative | transcript_product=nucleoside diphosphate kinase, putative | location=CASCJQ010000011:1796580-1802730(+) | protein_length=1685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721576.1         -           1685 11576at5820          -            205    0.0037   15.5   0.1   2   2      0.09        83    1.3   0.0    73   103   824   854   788   861 0.81 | transcript=PVPAM_110048100_t1 | gene=PVPAM_110048100 | organism=Plasmodium_vivax_PAM | gene_product=nucleoside diphosphate kinase, putative | transcript_product=nucleoside diphosphate kinase, putative | location=CASCJQ010000011:1796580-1802730(+) | protein_length=1685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:32 2026
# [ok]
