#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   1  11   4.2e-12   2.7e-08   29.9   0.1     1    29     1    29     1    37 0.92 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   2  11   5.6e-23   3.6e-19   66.0   0.7    25    78    77   130    65   135 0.89 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   3  11  1.7e-149  1.1e-145  485.5  22.8    66   344   174   453   169   457 0.98 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   4  11    8e-152  5.2e-148  493.2  21.2   344   593   491   746   483   749 0.95 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   5  11   4.5e-96   2.9e-92  308.4  22.6   593   814   807  1069   804  1080 0.87 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   6  11     2e-05      0.13    7.8   0.1   801   828  1124  1151  1108  1157 0.84 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   7  11         0         0 1776.5  94.1   822  1778  1196  2186  1189  2212 0.96 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   8  11   8.2e-05      0.53    5.7   0.0  1783  1800  2227  2244  2223  2254 0.89 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6   9  11   2.7e-85   1.7e-81  272.6  14.0  1801  1995  2377  2587  2370  2589 0.94 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6  10  11   1.4e-09     9e-06   21.5   0.0  1990  2020  2699  2729  2690  2736 0.88 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722134.1         -           3303 174at5820            -           2065         0 3446.2 229.6  11  11     4e-06     0.026   10.1   0.2  2021  2061  3033  3071  3029  3075 0.71 | transcript=PVPAM_120037200_t1 | gene=PVPAM_120037200 | organism=Plasmodium_vivax_PAM | gene_product=TOG domain-containing protein, putative | transcript_product=TOG domain-containing protein, putative | location=CASCJQ010000012:1265977-1278049(-) | protein_length=3303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
