#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723106.1         -            661 5150at5820           -            522  1.1e-302 1003.0  65.2   1   3   2.5e-22   1.1e-19   69.2   2.1     1    56     1    60     1    68 0.92 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 5150at5820           -            522  1.1e-302 1003.0  65.2   2   3   2.5e-95   1.1e-92  310.1  15.3    28   206    73   252    64   260 0.92 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 5150at5820           -            522  1.1e-302 1003.0  65.2   3   3  5.5e-194  2.5e-191  635.6  32.6   204   522   274   613   270   613 0.95 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 5150at5820           -            522   3.5e-24   84.1   7.5   1   4   1.9e-09   8.7e-07   26.7   0.0   119   203    15    96    10   101 0.92 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 5150at5820           -            522   3.5e-24   84.1   7.5   2   4   1.8e-06   0.00081   16.9   0.6   115   198    99   178    96   187 0.89 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 5150at5820           -            522   3.5e-24   84.1   7.5   3   4   5.2e-07   0.00024   18.6   0.2   115   189   188   256   180   262 0.80 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 5150at5820           -            522   3.5e-24   84.1   7.5   4   4   1.5e-08   6.7e-06   23.7   0.1   104   198   433   523   421   531 0.85 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 5150at5820           -            522   2.4e-14   51.6   2.7   1   2     9e-09   4.2e-06   24.4   0.2   110   196    10    93     5   101 0.87 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 5150at5820           -            522   2.4e-14   51.6   2.7   2   2     1e-09   4.7e-07   27.6   0.2   119   199   106   182    96   191 0.87 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 5150at5820           -            522   1.9e-08   32.2   1.9   1   2   0.00093      0.43    7.9   0.7   102   190   311   391   267   417 0.69 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 5150at5820           -            522   1.9e-08   32.2   1.9   2   2   2.2e-08     1e-05   23.1   0.0   120   197   431   509   410   515 0.91 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 5150at5820           -            522   3.1e-08   31.5   0.5   1   3    0.0078       3.6    4.9   0.2   121   185    89   150     8   159 0.84 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 5150at5820           -            522   3.1e-08   31.5   0.5   2   3     2e-06   0.00094   16.7   0.0   120   198   187   265   176   283 0.82 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 5150at5820           -            522   3.1e-08   31.5   0.5   3   3    0.0025       1.1    6.5   0.0   120   200   372   449   368   459 0.88 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 5150at5820           -            522     1e-06   26.5   0.0   1   2    0.0036       1.7    6.0   0.0   120   191     7    74     3    82 0.83 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 5150at5820           -            522     1e-06   26.5   0.0   2   2   6.2e-07   0.00029   18.4   0.0   120   200   155   231   143   240 0.88 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 5150at5820           -            522   3.2e-06   24.8   0.0   1   1   1.3e-08   6.2e-06   23.9   0.0   116   200    86   167    80   173 0.86 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721474.1         -            153 5150at5820           -            522   7.9e-06   23.5   0.8   1   1     2e-08   9.1e-06   23.3   0.8    86   196    25   133     8   146 0.84 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 5150at5820           -            522   9.1e-06   23.3   0.1   1   1   2.1e-08   9.8e-06   23.2   0.1   123   206    26   106    11   107 0.90 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 5150at5820           -            522   5.1e-05   20.8   0.7   1   1   1.3e-07   5.9e-05   20.6   0.7   120   202     8    87     2   111 0.84 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 5150at5820           -            522   5.1e-05   20.8   0.0   1   1   1.2e-07   5.7e-05   20.7   0.0   121   206    15    94     6   110 0.80 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720595.1         -            156 5150at5820           -            522   0.00019   18.9   0.8   1   1   5.1e-07   0.00024   18.6   0.8   121   200     5    87     2   110 0.83 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 5150at5820           -            522   0.00047   17.7   1.6   1   2   3.3e-06    0.0015   16.0   0.1   121   200     8    84     3    92 0.91 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 5150at5820           -            522   0.00047   17.7   1.6   2   2      0.17        78    0.4   0.1   313   377   184   246   161   256 0.76 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 5150at5820           -            522    0.0067   13.8   0.1   1   1   2.1e-05    0.0099   13.3   0.1   115   197     3    79     1    89 0.83 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5150at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
