#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723305.1         -            400 9069at5820           -            368  4.6e-196  649.5  34.6   1   1  6.4e-199  5.1e-196  649.3  34.6     1   368     1   400     1   400 0.95 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 9069at5820           -            368   1.9e-10   38.7   0.8   1   1   2.7e-13   2.2e-10   38.5   0.8    81   182    53   160    20   174 0.86 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 9069at5820           -            368   2.1e-08   32.0  10.5   1   2   2.5e-07    0.0002   18.9   7.6   150   219    35   102    16   111 0.79 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 9069at5820           -            368   2.1e-08   32.0  10.5   2   2   4.2e-08   3.4e-05   21.5   3.5   147   241    65   162    63   174 0.80 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 9069at5820           -            368   4.7e-07   27.6   0.1   1   1   1.4e-09   1.1e-06   26.3   0.1    82   233   399   557   388   590 0.84 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 9069at5820           -            368   1.2e-05   22.9   0.8   1   3     0.044        35    1.6   0.1   131   171    10    52     5    99 0.64 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 9069at5820           -            368   1.2e-05   22.9   0.8   2   3    0.0043       3.4    5.0   0.0   128   182    54   114    39   119 0.69 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 9069at5820           -            368   1.2e-05   22.9   0.8   3   3   3.4e-07   0.00028   18.4   0.1    64   179    91   210    67   219 0.77 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 9069at5820           -            368   4.3e-05   21.1   0.2   1   3   5.4e-08   4.3e-05   21.1   0.2    79   154  1059  1139  1047  1146 0.85 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 9069at5820           -            368   4.3e-05   21.1   0.2   2   3   0.00054      0.43    7.9   2.3   100   240  1152  1300  1139  1311 0.64 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 9069at5820           -            368   4.3e-05   21.1   0.2   3   3         8   6.5e+03   -6.9   5.0   216   244  1429  1459  1417  1462 0.53 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
