#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723049.1         -           1103 1979at5820           -            957         0 1944.9 105.8   1   4         0         0 1500.0  60.1     1   694     1   715     1   722 0.98 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 1979at5820           -            957         0 1944.9 105.8   2   4   1.2e-87   2.5e-84  282.4  19.0   692   842   738   917   732   925 0.97 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 1979at5820           -            957         0 1944.9 105.8   3   4   1.3e-27   2.8e-24   83.7   3.9   835   898   935   998   917  1002 0.90 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723049.1         -           1103 1979at5820           -            957         0 1944.9 105.8   4   4     3e-31   6.5e-28   95.7   1.0   888   957  1030  1103  1013  1103 0.89 | transcript=PVPAM_130055500_t1 | gene=PVPAM_130055500 | organism=Plasmodium_vivax_PAM | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=CASCJQ010000013:2244436-2247747(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 1979at5820           -            957   2.9e-48  163.0  22.4   1   3   6.8e-11   1.5e-07   28.4   0.1    21    77     4    61     2    94 0.88 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 1979at5820           -            957   2.9e-48  163.0  22.4   2   3   2.6e-10   5.5e-07   26.4   3.6   180   309   257   397   244   409 0.77 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719790.1         -           1042 1979at5820           -            957   2.9e-48  163.0  22.4   3   3   2.3e-37     5e-34  115.9   7.2   475   744   714   978   605   997 0.89 | transcript=PVPAM_070040400_t1 | gene=PVPAM_070040400 | organism=Plasmodium_vivax_PAM | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=CASCJQ010000007:1457872-1461000(+) | protein_length=1042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 1979at5820           -            957   4.3e-32  109.5  17.7   1   5      0.34   7.2e+02   -3.7   0.0    25    51     8    34     7    36 0.89 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 1979at5820           -            957   4.3e-32  109.5  17.7   2   5   6.5e-06     0.014   11.9   0.3   112   189   227   301   215   309 0.73 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 1979at5820           -            957   4.3e-32  109.5  17.7   3   5   2.2e-13   4.7e-10   36.6   2.5   212   288   362   438   350   469 0.89 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 1979at5820           -            957   4.3e-32  109.5  17.7   4   5   5.1e-15   1.1e-11   42.0   0.2   475   671   664   883   642   887 0.75 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722111.1         -           1064 1979at5820           -            957   4.3e-32  109.5  17.7   5   5   1.5e-10   3.2e-07   27.2   0.0   702   749   939   986   931  1006 0.83 | transcript=PVPAM_120034900_t1 | gene=PVPAM_120034900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000012:1181547-1185857(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1979at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
