#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   1  40  1.2e-113  7.5e-110  366.1  32.3     1   246     1   267     1   273 0.93 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   2  40   1.6e-97     1e-93  312.5  34.6   245   457   414   637   409   644 0.94 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   3  40   3.9e-15   2.5e-11   39.0   2.0   464   502   742   780   722   789 0.85 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   4  40   0.00013      0.82    4.1   0.7   509   540  1015  1047  1011  1058 0.79 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   5  40     0.018   1.2e+02   -3.0   0.0   538   565  1142  1169  1129  1193 0.77 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   6  40   3.2e-72   2.1e-68  228.5   0.6   566   714  1252  1400  1214  1408 0.95 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   7  40     0.002        13    0.1   0.0   707   738  1446  1477  1431  1495 0.71 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   8  40     2e-08   0.00013   16.7   0.1   714   762  1494  1543  1487  1548 0.89 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0   9  40   1.4e-41   9.1e-38  126.8   5.6   768   869  1640  1745  1636  1764 0.93 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0  10  40   5.1e-91   3.3e-87  290.9  12.9   889  1101  1926  2160  1917  2189 0.88 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0  11  40   3.6e-20   2.3e-16   55.7   9.4  1094  1176  2349  2454  2303  2462 0.69 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0  12  40     1e-36   6.6e-33  110.6   5.1  1161  1241  2542  2622  2525  2634 0.85 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0  13  40   2.8e-23   1.8e-19   66.0   1.7  1244  1296  2691  2743  2675  2752 0.89 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0  14  40  3.6e-120  2.4e-116  387.6  14.6  1295  1548  2772  3033  2769  3049 0.90 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723203.1         -           8886 28at5820             -           4775         0 6187.0 672.0  15  40   2.3e-80   1.5e-76  255.5  15.6  1533  1694  3050  3217  3035  3240 0.94 | transcript=PVPAM_140012200_t1 | gene=PVPAM_140012200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:331779-358439(-) | protein_length=8886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
