#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721084.1         -            603 5548at5820           -            458  1.7e-255  846.5  40.1   1   2   9.2e-81   6.6e-78  261.0   3.3     1   139     1   143     1   149 0.96 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721084.1         -            603 5548at5820           -            458  1.7e-255  846.5  40.1   2   2  6.9e-181    5e-178  591.1  29.0   130   458   238   603   232   603 0.93 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5548at5820           -            458   3.9e-43  146.4   0.1   1   5   3.9e-06    0.0028   15.0   0.0     5    38    16    49    13    55 0.90 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5548at5820           -            458   3.9e-43  146.4   0.1   2   5   0.00059      0.42    7.8   0.0    67   112    67   113    64   121 0.83 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5548at5820           -            458   3.9e-43  146.4   0.1   3   5   3.5e-19   2.5e-16   58.0   0.0   166   275   133   246   128   249 0.95 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5548at5820           -            458   3.9e-43  146.4   0.1   4   5      0.27   1.9e+02   -0.9   0.0   278   315   273   310   264   341 0.71 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 5548at5820           -            458   3.9e-43  146.4   0.1   5   5   1.7e-19   1.2e-16   59.1   0.0   319   458   347   492   323   492 0.78 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 5548at5820           -            458   1.7e-35  121.2   0.0   1   2   8.7e-05     0.063   10.6   0.0     8    41     6    39     2    71 0.84 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 5548at5820           -            458   1.7e-35  121.2   0.0   2   2   4.8e-34   3.4e-31  107.0   0.0   185   458   112   375    91   375 0.89 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 5548at5820           -            458   1.8e-33  114.5   2.1   1   2   0.00017      0.12    9.6   0.1     9    40    13    44     1    58 0.90 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 5548at5820           -            458   1.8e-33  114.5   2.1   2   2     5e-33   3.6e-30  103.7   0.3   152   457    84   377    52   378 0.87 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
