#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721835.1         -            209 12072at5820          -            169  3.6e-105  347.6   3.7   1   1  8.4e-108  4.5e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12072at5820          -            169   2.9e-28   97.4   1.0   1   4   4.8e-14   2.6e-11   42.2   0.1    35   104    47   119    10   173 0.81 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12072at5820          -            169   2.9e-28   97.4   1.0   2   4      0.93     5e+02   -1.0   0.1    41    83   159   198   125   265 0.64 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12072at5820          -            169   2.9e-28   97.4   1.0   3   4      0.49   2.6e+02   -0.1   0.0    61   119   268   327   251   346 0.77 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12072at5820          -            169   2.9e-28   97.4   1.0   4   4   9.6e-17   5.2e-14   51.0   0.0    38   122   374   461   365   470 0.86 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 12072at5820          -            169   2.6e-22   78.0   9.4   1   3   6.1e-09   3.3e-06   25.6   1.2    38   126    51   139    38   155 0.74 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 12072at5820          -            169   2.6e-22   78.0   9.4   2   3   5.9e-18   3.2e-15   54.9   0.5    14   126   166   281   162   300 0.83 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 12072at5820          -            169   2.6e-22   78.0   9.4   3   3      0.18        99    1.2   0.0    88   121   357   391   311   411 0.81 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 12072at5820          -            169   8.5e-12   43.8   5.4   1   2   4.9e-08   2.6e-05   22.6   0.8    22   107    33   119     8   170 0.77 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 12072at5820          -            169   8.5e-12   43.8   5.4   2   2   4.6e-08   2.5e-05   22.7   0.3    35   120   420   515   411   540 0.72 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 12072at5820          -            169   5.7e-10   37.8   4.7   1   1   2.9e-12   1.6e-09   36.4   4.6    10   125   179   290   172   344 0.91 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
