#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720689.1         -           1711 656at5820            -           1340         0 2353.9 120.3   1   4  6.6e-209  7.1e-206  685.2  38.3     1   401     1   470     1   489 0.84 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 656at5820            -           1340         0 2353.9 120.3   2   4   3.5e-73   3.7e-70  235.5   0.0   373   536   508   683   493   693 0.86 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 656at5820            -           1340         0 2353.9 120.3   3   4         0         0 1136.2  50.7   537  1136   729  1450   720  1460 0.97 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 656at5820            -           1340         0 2353.9 120.3   4   4   4.7e-94   5.1e-91  304.7  13.6  1132  1340  1488  1711  1452  1711 0.86 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 656at5820            -           1340   9.3e-88  293.9  37.2   1   5     1e-19   1.1e-16   58.4   0.1   133   219    93   179    18   190 0.82 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 656at5820            -           1340   9.3e-88  293.9  37.2   2   5   4.2e-25   4.5e-22   76.2   0.0   264   346   184   276   179   281 0.85 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 656at5820            -           1340   9.3e-88  293.9  37.2   3   5   3.1e-49   3.3e-46  156.2   4.4   406   844   382   777   365   783 0.84 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 656at5820            -           1340   9.3e-88  293.9  37.2   4   5   0.00041      0.45    6.7   1.8   979  1008   884   913   876   920 0.89 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 656at5820            -           1340   9.3e-88  293.9  37.2   5   5   0.00086      0.93    5.6   9.3   952  1037   928  1018   918  1080 0.74 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721934.1         -            817 656at5820            -           1340   6.5e-65  218.2  19.2   1   3   3.3e-17   3.5e-14   50.1   0.0   132   217   123   209    99   221 0.88 | transcript=PVPAM_120016800_t1 | gene=PVPAM_120016800 | organism=Plasmodium_vivax_PAM | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=CASCJQ010000012:524285-527026(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721934.1         -            817 656at5820            -           1340   6.5e-65  218.2  19.2   2   3   4.4e-24   4.7e-21   72.9   0.1   268   367   219   320   210   334 0.88 | transcript=PVPAM_120016800_t1 | gene=PVPAM_120016800 | organism=Plasmodium_vivax_PAM | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=CASCJQ010000012:524285-527026(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
