#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719290.1         -            706 4451at5820           -            552  4.7e-275  912.1  34.7   1   2   1.5e-07     7e-05   20.3   2.4     1    27    20    46    20    52 0.90 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 4451at5820           -            552  4.7e-275  912.1  34.7   2   2  5.6e-273  2.6e-270  896.5  24.5    26   551    75   703    58   704 0.94 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   1   7     0.039        18    2.4   0.0   135   173    48    85    39    89 0.78 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   2   7     0.005       2.3    5.4   0.2   132   176    87   130    79   132 0.82 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   3   7   2.6e-07   0.00012   19.5   0.1   135   169   132   165   127   179 0.87 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   4   7   4.1e-06    0.0019   15.6   0.1   135   177   244   285   229   287 0.92 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   5   7   8.4e-07   0.00039   17.8   0.1   133   173   286   326   283   333 0.92 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   6   7      0.43     2e+02   -1.0   0.0    49    98   343   392   332   405 0.81 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4451at5820           -            552   7.8e-15   53.2  16.4   7   7       0.7   3.2e+02   -1.7   0.7    95   135   595   635   520   682 0.70 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   1   4   1.3e-08   5.9e-06   23.9   0.6   135   172   139   176    42   180 0.80 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 4451at5820           -            552   1.3e-11   42.5  17.6   2   4   1.5e-06    0.0007   17.0   0.1   135   174   187   227   179   231 0.86 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
