#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721396.1         -            862 3285at5820           -            554  5.2e-263  872.0  32.6   1   5   4.4e-30   4.8e-27   93.1   0.5     1    76    68   146    68   149 0.93 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 3285at5820           -            554  5.2e-263  872.0  32.6   2   5  3.7e-140    4e-137  456.5   9.0    73   312   164   419   154   423 0.94 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 3285at5820           -            554  5.2e-263  872.0  32.6   3   5   3.4e-39   3.7e-36  123.2   0.0   311   392   443   532   439   540 0.93 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 3285at5820           -            554  5.2e-263  872.0  32.6   4   5   2.4e-43   2.6e-40  136.9   1.7   388   469   606   687   603   690 0.98 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 3285at5820           -            554  5.2e-263  872.0  32.6   5   5   4.1e-25   4.4e-22   76.7   0.2   504   554   785   835   781   835 0.97 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 3285at5820           -            554   6.4e-16   56.4   8.7   1   2   1.2e-09   1.3e-06   25.7   0.6   112   216   315   433   299   450 0.73 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 3285at5820           -            554   6.4e-16   56.4   8.7   2   2   4.4e-12   4.8e-09   33.7   2.1   287   399   670   789   643   857 0.76 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 3285at5820           -            554   8.1e-11   39.5  12.5   1   3   1.3e-05     0.014   12.3   0.0   120   223   287   406   272   422 0.73 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 3285at5820           -            554   8.1e-11   39.5  12.5   2   3   1.8e-12   1.9e-09   35.0   0.1   295   365   586   656   576   669 0.89 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 3285at5820           -            554   8.1e-11   39.5  12.5   3   3         6   6.5e+03   -6.4   5.8   358   453  1030  1130  1026  1142 0.73 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720950.1         -           1006 3285at5820           -            554    0.0015   15.5   0.1   1   1   2.2e-06    0.0024   14.9   0.1   270   339   856   926   831   957 0.79 | transcript=PVPAM_100021800_t1 | gene=PVPAM_100021800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=CASCJQ010000010:750078-753098(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 3285at5820           -            554    0.0016   15.4   0.1   1   1   2.4e-06    0.0026   14.7   0.1   289   342   494   548   444   586 0.78 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722427.1         -            528 3285at5820           -            554    0.0017   15.4   0.1   1   1     3e-06    0.0033   14.4   0.1   243   340   337   437   321   494 0.79 | transcript=PVPAM_120066400_t1 | gene=PVPAM_120066400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=CASCJQ010000012:2501497-2504933(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3285at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3285at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3285at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:19 2026
# [ok]
