#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717892.1         -            770 5049at5820           -            494  1.9e-225  747.7  18.0   1   6   5.8e-37   2.5e-34  117.3   0.6     1    59     1    59     1    65 0.95 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5049at5820           -            494  1.9e-225  747.7  18.0   2   6   2.6e-51   1.1e-48  164.6   1.2    60   164   116   226   112   228 0.96 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5049at5820           -            494  1.9e-225  747.7  18.0   3   6   0.00016     0.067   10.3   0.0   162   184   286   308   279   312 0.89 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5049at5820           -            494  1.9e-225  747.7  18.0   4   6   1.8e-75   7.8e-73  244.3   0.4   179   322   348   493   342   497 0.96 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5049at5820           -            494  1.9e-225  747.7  18.0   5   6         3   1.3e+03   -3.8   0.0   320   332   517   529   515   530 0.89 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5049at5820           -            494  1.9e-225  747.7  18.0   6   6   5.8e-68   2.5e-65  219.5   0.1   333   494   566   748   562   748 0.94 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 5049at5820           -            494   1.2e-26   91.9   0.8   1   1   4.5e-29   1.9e-26   91.2   0.8     4   284    73   372    71   380 0.77 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 5049at5820           -            494   2.3e-26   91.0  25.6   1   2     5e-27   2.1e-24   84.5  22.7     3   283    12   319    10   325 0.76 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 5049at5820           -            494   2.3e-26   91.0  25.6   2   2     0.086        37    1.3   0.0   218   253   343   378   338   390 0.86 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 5049at5820           -            494   7.4e-18   62.9   2.3   1   2     1e-06   0.00045   17.5   0.0     3    56    35    84    33    95 0.86 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 5049at5820           -            494   7.4e-18   62.9   2.3   2   2   4.6e-15     2e-12   45.0   0.6    64   199   122   261   113   304 0.80 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
