#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722709.1         -           1427 857at5820            -           1079         0 2397.8  34.4   1   2         0         0 1755.9  22.8     1   778   202  1010   202  1015 0.98 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722709.1         -           1427 857at5820            -           1079         0 2397.8  34.4   2   2  5.6e-198  9.1e-195  647.8   3.7   768  1079  1090  1427  1084  1427 0.95 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 857at5820            -           1079  7.8e-208  691.1   8.1   1   2  5.1e-128  8.3e-125  416.2   1.7    11   812    34   898    24   910 0.80 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 857at5820            -           1079  7.8e-208  691.1   8.1   2   2   3.9e-86   6.4e-83  277.5   0.6   822  1077  1073  1344  1052  1346 0.92 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   1   7   7.8e-11   1.3e-07   28.2   1.9    25   179   102   269    89   285 0.78 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   2   7      0.44   7.1e+02   -4.1   1.1   303   380   395   467   389   497 0.73 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   3   7   4.3e-14   6.9e-11   39.0   0.1   439   594   617   786   541   812 0.74 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   4   7   8.6e-31   1.4e-27   94.3   0.0   625   772   969  1116   959  1131 0.95 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   5   7   5.7e-29   9.3e-26   88.2   0.0   823   915  1210  1301  1167  1319 0.82 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   6   7   7.5e-35   1.2e-31  107.7   0.4   930  1043  1389  1502  1377  1513 0.97 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 857at5820            -           1079  8.4e-102  340.0  30.2   7   7     0.024        39    0.1   0.5  1035  1077  1528  1565  1522  1567 0.83 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
