#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720133.1         -            253 10762at5820          -            224  9.2e-140  462.2  10.9   1   1  1.8e-142    1e-139  462.0  10.9     1   224     1   230     1   230 0.98 | transcript=PVPAM_080035500_t1 | gene=PVPAM_080035500 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=CASCJQ010000008:1395362-1396221(+) | protein_length=253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721546.1         -            235 10762at5820          -            224     2e-27   94.8   0.3   1   1   3.9e-30   2.3e-27   94.6   0.3     7   208     5   210     1   220 0.89 | transcript=PVPAM_110045100_t1 | gene=PVPAM_110045100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=CASCJQ010000011:1676814-1677673(+) | protein_length=235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 10762at5820          -            224   1.1e-25   89.1   1.3   1   1   2.3e-28   1.4e-25   88.8   1.3     7   204     4   207     1   219 0.84 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717977.1         -            256 10762at5820          -            224   1.2e-19   69.4   0.1   1   1   2.5e-22   1.5e-19   69.1   0.1     6   189     6   199     1   232 0.78 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717747.1         -            260 10762at5820          -            224   1.2e-19   69.4   3.4   1   1   2.6e-22   1.5e-19   69.0   3.4     7   193     8   208     2   232 0.77 | transcript=PVPAM_010026100_t1 | gene=PVPAM_010026100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=CASCJQ010000001:945649-947062(-) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721315.1         -            241 10762at5820          -            224   3.6e-19   67.8   0.1   1   1   7.3e-22   4.3e-19   67.6   0.1     7   198     2   197     1   220 0.87 | transcript=PVPAM_110021800_t1 | gene=PVPAM_110021800 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=CASCJQ010000011:706641-707963(-) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722510.1         -            269 10762at5820          -            224   1.7e-17   62.3   2.2   1   1   3.8e-20   2.2e-17   62.0   2.2     8   187     6   187     2   215 0.82 | transcript=PVPAM_120074900_t1 | gene=PVPAM_120074900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=CASCJQ010000012:2917627-2918866(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717783.1         -            256 10762at5820          -            224    0.0019   16.4   1.5   1   1   4.9e-06    0.0029   15.8   1.5    36   139    11   116     5   151 0.79 | transcript=PVPAM_010029700_t1 | gene=PVPAM_010029700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=CASCJQ010000001:1103661-1104585(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723643.1         -            207 10762at5820          -            224     0.002   16.3   0.1   1   1   5.8e-06    0.0034   15.6   0.1    42   103    44   106    35   204 0.83 | transcript=PVPAM_140056700_t1 | gene=PVPAM_140056700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=CASCJQ010000014:2230899-2232126(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720952.1         -            241 10762at5820          -            224    0.0083   14.3   0.9   1   1   2.2e-05     0.013   13.7   0.8    31   164    35   169    28   213 0.78 | transcript=PVPAM_100022000_t1 | gene=PVPAM_100022000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=CASCJQ010000010:755925-757413(+) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 10762at5820          -            224     0.011   13.9   0.1   1   1   2.2e-05     0.013   13.7   0.1    59   132    35   110     2   161 0.67 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm
