#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722106.1         -             77 15158at5820          -             65   5.3e-45  149.7   2.8   1   1   4.6e-46   4.2e-43  143.6   2.8     1    65     1    74     1    74 0.94 | transcript=PVPAM_120034400_t1 | gene=PVPAM_120034400 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=CASCJQ010000012:1169041-1169274(+) | protein_length=77 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720553.1         -             86 15158at5820          -             65     4e-13   47.5   0.1   1   1   1.6e-15   1.4e-12   45.8   0.1     5    63     9    76     5    77 0.85 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720360.1         -            127 15158at5820          -             65   7.2e-05   21.1   1.5   1   2   3.3e-07   0.00031   19.1   0.2    15    63    13    71     4    73 0.73 | transcript=PVPAM_090012500_t1 | gene=PVPAM_090012500 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=CASCJQ010000009:415788-416623(+) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720360.1         -            127 15158at5820          -             65   7.2e-05   21.1   1.5   2   2       2.5   2.3e+03   -2.9   0.1    39    49    77    87    74    92 0.66 | transcript=PVPAM_090012500_t1 | gene=PVPAM_090012500 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=CASCJQ010000009:415788-416623(+) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720539.1         -            127 15158at5820          -             65    0.0015   16.9   2.0   1   2   5.8e-05     0.053   11.9   0.2     9    44     6    41     4    52 0.89 | transcript=PVPAM_090030500_t1 | gene=PVPAM_090030500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=CASCJQ010000009:1169012-1169395(-) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720539.1         -            127 15158at5820          -             65    0.0015   16.9   2.0   2   2     0.012        11    4.4   0.1    40    61    56    77    52    80 0.79 | transcript=PVPAM_090030500_t1 | gene=PVPAM_090030500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=CASCJQ010000009:1169012-1169395(-) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718801.1         -             83 15158at5820          -             65     0.032   12.6   0.3   1   1   6.8e-05     0.062   11.7   0.3    18    61    22    73     9    77 0.72 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720932.1         -            103 15158at5820          -             65     0.035   12.5   0.0   1   1   0.00012      0.11   10.9   0.0    14    61    13    71     5    73 0.65 | transcript=PVPAM_100020000_t1 | gene=PVPAM_100020000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm2, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm2, putative | location=CASCJQ010000010:662228-662917(-) | protein_length=103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722736.1         -            107 15158at5820          -             65     0.041   12.3   0.1   1   1     6e-05     0.055   11.9   0.1    15    54    25    68     9    76 0.80 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15158at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15158at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15158at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
